"F.number","logcopyITS2","ID","compost","rep","kit","size","dna_25","copies_per_ngDNA_ITS2","logcopy16s","copies_per_ngDNA_16S","ratioF_B"
"F1",4.0816247582205,"K20_1M2","A",1,"M","2",24.8362038452318,4858.91769381266,5.99400944988188,397122.262573299,0.0122353193254075
"F10",3.64352030947776,"K20_1M10","A",1,"M","10",9.82107077047379,4480.86096858967,5.48776577792778,313045.119505549,0.0143137863821904
"F11",3.71798839458414,"K20_2M10","A",2,"M","10",12.6369871521681,4133.75611754123,5.62192035099562,331342.242387998,0.012475789648036
"F12",3.59323017408124,"K20_3M10","A",3,"M","10",12.7828775568118,3066.20752479884,5.50970300371246,252973.118638131,0.0121206851593783
"F13",4.06905222437137,"K21_1M10","B",1,"M","10",30.3835128027554,3858.46211847958,6.13575767802903,449903.83430765,0.0085761930089289
"F14",4.01295938104449,"K21_2M10","B",2,"M","10",41.7618065046098,2467.06222888526,6.35512993587581,542438.690731112,0.00454809413679561
"F15",3.98781431334623,"K21_3M10","B",3,"M","10",47.5302667898075,2045.70996799632,6.35512993587581,476606.195860535,0.00429224375546081
"F16",4.00425531914894,"K22_1M10","C",1,"M","10",28.0643185130623,3598.32858165669,6.1382888963888,489930.408562969,0.00734457081815164
"F17",4.15029013539652,"K22_2M10","C",2,"M","10",41.0450909452887,3443.72856586865,6.38297333783328,588453.452927612,0.005852168168503
"F18",4.12321083172147,"K22_3M10","C",3,"M","10",36.5525927705462,3633.22792649912,6.1872257846777,421024.72092054,0.00862948835535197
"F19",3.85822050290135,"K20_1S2","A",1,"S","2",18.0233535204419,4002.99365399644,5.71388795140061,287112.664845714,0.0139422399083215
"F2",4.21508704061896,"K20_2M2","A",2,"M","2",28.291259142508,5800.09041773212,6.1011643604455,446182.038831876,0.0129993812232267
"F20",4.03520309477756,"K20_2S2","A",2,"S","2",24.5004243424805,4426.18424989131,5.85647991900102,293296.116568665,0.015091179186667
"F21",3.94429400386847,"K20_3S2","A",3,"S","2",19.7589861915602,4451.73543166118,5.70713803577456,257853.706218234,0.0172645780312867
"F22",3.92785299806576,"K21_1S2","B",1,"S","2",21.1484186167383,4004.74713831858,5.96363482956463,434867.479490162,0.00920912077172048
"F23",4.11644100580271,"K21_2S2","B",2,"S","2",34.2577135482937,3816.6526075813,6.23363145460682,499888.425323626,0.0076350089624708
"F24",4.04003868471954,"K21_3S2","B",3,"S","2",24.002544390125,4568.58177745763,6.09019574755316,512788.723217783,0.00890928675028086
"F25",4.27117988394584,"K22_1S2","C",1,"S","2",34.3295008902612,5438.91653954038,6.36609854876814,676754.355351327,0.00803676621588471
"F26",3.9926499032882,"K22_2S2","C",2,"S","2",24.193591348587,4063.96128979607,6.10369557880527,524801.705879593,0.00774380350571589
"F27",3.88046421663443,"K22_3S2","C",3,"S","2",21.4355679846084,3542.65793826888,5.97375970300372,439161.95260298,0.0080668598845392
"F28",3.54003868471954,"K20_1S10","A",1,"S","10",12.1008978081202,2865.63644171378,5.52910901113736,279441.830681426,0.0102548585325463
"F29",3.32727272727273,"K20_2S10","A",2,"S","10",10.6443094823918,1995.97562861651,5.07433344583193,111484.875372138,0.0179035552755827
"F3",4.13191489361702,"K20_3M2","A",3,"M","2",26.9099317398101,5035.03272397593,6.08513331083362,452085.642433153,0.0111373426877197
"F30",3.42495164410058,"K20_3S10","A",3,"S","10",11.7523818414714,2263.73586013675,5.41857914276072,223076.205856416,0.0101478140684973
"F31",3.99458413926499,"K21_1S10","B",1,"S","10",25.5147100128605,3870.73556207892,6.09863314208573,491861.132445916,0.00786956989837885
"F32",3.57678916827853,"K21_2S10","B",2,"S","10",25.1326160959365,1501.59035786816,5.64638879514006,176258.91717414,0.00851923058386101
"F33",3.7605415860735,"K21_3S10","B",3,"S","10",25.2553492934939,2281.33049954444,6.0210091123861,415581.047101005,0.00548949600916225
"F34",3.78375241779497,"K22_1S10","C",1,"S","10",17.2811650333259,3517.05694526894,5.81598042524469,378797.764707905,0.00928478801341654
"F35",3.68704061895551,"K22_2S10","C",2,"S","10",17.9712498044977,2706.83845640451,5.83201147485657,377948.994114862,0.00716191469894975
"F36",3.73829787234043,"K22_3S10","C",3,"S","10",18.8454343720056,2904.63603082098,5.79151198110024,328326.418348462,0.0088467935216173
"F4",4.24700193423598,"K21_1M2","B",1,"M","2",47.3345883899283,3730.98350752303,6.46987850151874,623303.975055442,0.00598581696385164
"F5",4.19864603481625,"K21_2M2","B",2,"M","2",36.9034244579037,4281.33652935626,6.39309821127236,669933.264939906,0.0063906910634454
"F6",4.15899419729207,"K21_3M2","B",3,"M","2",36.5190148202711,3948.89098273257,6.35175497806278,615511.150687603,0.00641562866622508
"F7",3.96073500967118,"K22_1M2","C",1,"M","2",23.9458092327635,3815.09618171407,6.17963212959838,631542.542631468,0.00604091715788076
"F8",4.07969052224371,"K22_2M2","C",2,"M","2",28.3514678809324,4237.5513414976,6.23110023624705,600516.143751203,0.00705651527538824
"F9",4.00135396518375,"K22_3M2","C",3,"M","2",21.9936566753883,4560.96273432653,6.13491393857577,620321.019192654,0.00735258453802292
