"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV646" 17 37 7 10.5 23 19 12 9 13 25.5 5 13 4 4 5 5 11 5 7 5 11 5 1 5 5 2 3 2 5 5 3 4 6 11 3 1
"ASV647" 0 0 0 0 0 0 0 0 0 0 0 0 26 49 17 19 18 29 18 15 37 36 33 15 4 2.5 0 2 2 5 1 2 4 2 2 2
"ASV648" 0 0 0 0 0 0 1 8 0 0 0 0 24 5 22 1 52 5 16 2 16 3 7 4 48 2 23 6.5 37 13 49 5 67 4 21.5 3
"ASV649" 8 3 4 7 3 8 2 11 2 3 4 11 2 8 5 3 26 5 7 8 6 6 7 5 7 22.5 9 17 6 20 7 19 26 12 5 20
"ASV650" 1 0 1 0 0 0 0 0 0 0 0 0 62 115 45 140 59 91 45 73 70 122 52 88 23 60 24 56 31 71.5 28 51 26 63 28 55
"ASV651" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 45 26 48 31 39 19 35 28 39 39 39 24
"ASV652" 1 1 0 0 0 1 0 7 4 0 1 0 40 6 74 5 9 5 10 1 18 8 12 4 40 24 9 20 57 30 33 15 32 16 35 20
"ASV653" 43 35.5 40 27 23 28 39.5 23 22 27 31 29 15 10 19 17 9.5 12 28 26 32 14 31 15 16 7 9 10 10 6 20 10 13 6 18 12
"ASV654" 0 0 0 0 1 1 1 4 0 0 0 1 14 19 9 18 28 28 5 28.5 21 36 3 19 3 16 9 3 3 24 14 4 4 15.5 2 18
"ASV656" 0 0 0 1 1 1 2 4 1 0 0 0 34 5 61 6 14 16 11 9 13 16 13 9 3 2 10 2 10 6 3 3 14 1 8 4
