"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV1" 85056 85188.5 84835 86254 86373 85330 86011 86491.5 84639.5 85567.5 84007.5 86434.5 45563.5 67582 50695.5 71711 34480 67443.5 52777 55869 53597 70583 51926 52342.5 7578 25556 7469 35148 12093 21638.5 16262 26223.5 13701.5 22158.5 15626.5 26778
"ASV2" 637 295.5 581 397 622 602 786.5 387 685 396 490 304 24243 2845 16005.5 3316 18532.5 3694.5 15942 6001 17240 2866 17285 4052 39850 9607.5 36763 10682 29668.5 8486.5 33069.5 12358.5 32151.5 8155 32135 15701
"ASV3" 22 44 33 12 22 31.5 31 4 19 28 44 1 12 44 75 6.5 29 192.5 41 49 42 39 18 50 3920 22443 4447 14831.5 2023 13211.5 2921.5 29535.5 1385.5 8939 2585.5 24258
"ASV4" 20 34 14 34 21 31 8 20 9 41 24 9.5 2340 2533.5 2500 570 5053.5 2854 3422.5 1700 1721 2165 1661 1424.5 9901.5 8421 3263 6557.5 18089 8612 12001 3796 5100.5 9192 3973 2045
"ASV5" 64 71 39 73.5 75.5 56 44 55 44 76 51 34.5 94 395.5 48 148 68.5 60 70.5 54 54 89 81 90 4829 3122 4224 760.5 3702.5 675 11599.5 1880.5 19321.5 2328.5 16930 4573
"ASV6" 11 6 10 19 9 5 8 18 12 4 12 14.5 2767 2665 5812 2808 7744.5 1674 5980.5 7561.5 1880 1507.5 2444.5 10547 1165 634 1989 3724.5 1384 829 546 565 4849.5 1553 2591.5 594
"ASV7" 6 14 4 6 10 7 3 2 6 11 4 3 15 12 8 3 4 9 11 5 15 9 3 10 889 4298.5 872 3744.5 5253 18415 1033 3208 1444 22509.5 1248 4617
"ASV8" 291.5 486 471 405.5 179 677.5 327 261 504 489 523 345.5 1600 2192 2790 1636 643.5 2248 1049.5 2384.5 1126 2098 1418 2637 807 1567 659 1164.5 855 1035.5 558 904 368 1131 529 956
"ASV9" 5.5 2 2 11 2 4 4 9.5 7 3 7 8 2187 1876 2830 1297 1393 1243 1897.5 5846 1010.5 746 1060 5213 884 351 1469 1463.5 420.5 553 564 781 3512.5 338 2217 371.5
"ASV14" 26.5 25 3 19 12 30 3 4 3 22 4 5 3025.5 932 1781 1314.5 3014 1427 2787 1445.5 2690.5 1096 4249 1140 32 7 52 1631 104 62 9 45 142 36 69 34
"ASV10" 4 3 2 2 2 4 3 6 2 1 5 2 626.5 5 456 61 4087 5 445 23 626 9 321 63 2950.5 1086 4471 306 1379.5 728.5 1554.5 202 1076 1087 958 84
"ASV11" 6 4 3 4 6 3 1 5 7 0 3.5 2 43 149 291 115 9087.5 642 758.5 629 203 86 208 155 1107 230 122 251 2131.5 888 230 28 1665.5 53 505.5 104.5
"ASV12" 177 126 104 80.5 79.5 75 63 54 109 91 106 57 570 1866.5 268 1301.5 447 873 506 1197 549 1160 689 1574 1160 804.5 565 606 504 939 371.5 644 287.5 890 249 670
"ASV13" 332 191 404 104 172.5 168 80 205 324.5 310.5 273 130 278 416 356 323 489.5 515.5 164 400.5 413 589 352 790 865.5 1414.5 861 943 821 1207.5 499 700 418.5 1215.5 628.5 914.5
"ASV15" 8 23 0 9 7 4 1 0 1 7 8 3 40 20 34 7 23 27 17 79 22 27 37 22 3686.5 164 13855 70 157 71 227 105 139 31.5 95 67
"ASV16" 30.5 48 35 28.5 31 29 18 13 66 36 44 26 585.5 775.5 214.5 480 360.5 781 162.5 1035 1752.5 719.5 1403 1113 132 186 66 184 234 97 79 53 54 78.5 18 54
"ASV17" 10 18 11 28 10 23 10 15.5 9 30 10 6 254 58 702 219 316 123 219 307 235 280 249 374 835 319 996 799 2471 335 2265.5 777.5 292 381 1385 361.5
"ASV25" 0 1 2 0 2 0 3 5 3 1 4 1 3 14 1 67 85 2 17 2 2 15 4 11 154 396 984 154 441 635.5 91 1325.5 236 910 240 551
"ASV27" 68.5 49 64 37 11 50 43 61 103 51.5 113.5 39 145 82 268 186 108 163 198 194 262 72 209 364 80 170 121 605 334 366.5 235 358.5 218 300 139 602.5
"ASV28" 41 56 43 50 14 53 16 19 72 32 44 21 199 243.5 184 100 90 348 142.5 322 306 213 308.5 857.5 182.5 301 98 90 247 257 105 43 27 101 106.5 132
"ASV34" 102 143 106 51 52 53 51 53 84 61.5 205 58 462 118 203 202.5 77 142 73.5 253 87.5 319 48 220 135 201 143 230 172 236.5 66 110 74 275 28 227
"ASV39" 99 104 54 38 52 88 28 39 51 108 85.5 46 61 163.5 113 162 74.5 77 55 44 41 73 50 528 1640.5 88 75 138 87.5 131 58 36 26 103.5 69 64
"ASV42" 48 57 33 72 22 36 13 23 33 35 64 38 113 375 75 134 213 257 124.5 140 394.5 724 455 639 4 10 9 2 0 22 14 6 1.5 39 2 28
"ASV46" 0 0 1 0 0 3 0 0 2 2 7 10 39 0 8 0 7 0 2 0 53 3 3 1 1 0 4 28 2 0 2 0 7 0 3143 0
"ASV48" 88.5 99.5 143 59 52 66 97 80 147 64 171 92 75 116 30 76 80 86 39 197 216 201 24 239 51 166 158 341.5 248 101 61 20 35.5 0 44.5 117
"ASV47" 0 1 1 0 0 5 0 0 0 6 1 0 0 53 1 25 2 170 0 8 0 12.5 9 38 22 618 4 209 106 1321 125 214 19 867 35 795.5
"ASV49" 70 27 20 57 44.5 73 48 36 66 105 98 57 32 78 306 112 126 3 119 226 167 249 169 124 0 40 214 201.5 79 0 60 197.5 25 0 91 2
"ASV50" 17.5 18 24 3 11 18 9 3 6.5 26 18 8 151 137 150 63 105 101.5 138 292 168 91 139 271 113.5 247.5 125 71 131 176 87 48.5 63 73 42 171
"ASV52" 3 2 1 1 0 4 1 5 2 8 2 7 37 67 12 10 23 52 58 68 70 31 56 36 601 108 399 111 270.5 345 89 152 67 256 49 159
"ASV55" 12 2 3 6 2 1 3 5 9 5 1 1 106 97 54 67 27 48.5 5 43 60 93 28 15 87 567 251 133 162 75 225 229 157 195 73 336
"ASV58" 64 101 66 42 45 29 50 29 166.5 115 297.5 16 129 224 66 81 151 169 129 66 106 100 123 280 2 79 12 54 50 25 44 36 14 47 10 0
"ASV57" 6 2 3 1 1 3 2 4 1 1 6 1 471 125 229 7 27 116 6 75 170 45.5 23 1 1 1 25 21 23 0 15 739.5 349 456 14 87
"ASV61" 173 124 120 70 101 117 78.5 55 165 79 167 74 53 84 79 59 53 55 51 60 61 48 24 80 86.5 0 85 65 141 197 77 60 18 43 92 38.5
"ASV64" 0 0 0 0 0 3 0 0 0 2 0 0 0 2 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 2450.5 16 0 0 40 1 0
"ASV69" 2 9 5 6 1 3 4 3 8.5 2 3 1 7 1 1 4 24.5 962 19 0 2 13 33 8 15 152 42 94.5 0 101 33 53 21 125 18 78
"ASV73" 48 87 55.5 37 14 47 23 21 41 46 42.5 30 32 63 44 75.5 59 70.5 17 58 229 123 251 98 55 55.5 70 38 88 45.5 49 90 10 44 16 15
