"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 0.157101470359017 0.179166831194472 0.1894593443134 0.126674598638749 0.154308099963631 0.232293552241908 0.189896399438874 0.106996622850314 0.142815711539461 0.190182366083026 0.189107185535408 0.478960253546007 0.488407751857432 0.475747077466618 0.494076479451343 0.461523562113576 0.487727853691484 0.458705876240453 0.471434613186471 0.445068114511352 0.476706811451135 0.449327375694913 0.465122148906323 0.471393360004156 0.542902166571414 0.460605081311373 0.540582428430405 0.471209746973554 0.541265340052995 0.46982833688367 0.532788070868187 0.447597547669767 0.549950018184652 0.470276510625032 0.541233231152907
"K20_1M2" 0.157101470359017 0 0.193077466618174 0.151417052008105 0.197880189120382 0.112736426456071 0.242571101989921 0.149424637605861 0.171596196809892 0.112774250532551 0.207936613498208 0.154444952460124 0.440670130409934 0.443936197849015 0.423410089884138 0.432908193484699 0.425433885800384 0.443208292201382 0.414482256975113 0.418931469839456 0.42433283109056 0.430823712786408 0.403917389723074 0.405959993765262 0.465445939626955 0.510768951005351 0.435010754922845 0.48129027900452 0.458741622070972 0.515483763703434 0.442502935522419 0.475922065776485 0.439934327427651 0.512627526367746 0.434692783290902 0.483855457993454
"K20_1S10" 0.179166831194472 0.193077466618174 0 0.154891567517016 0.191259624876604 0.189908972826934 0.140037824076479 0.164072738608614 0.186543045669455 0.189648672520393 0.114640619317296 0.154856133423391 0.456950589702291 0.46844516028472 0.432817478048527 0.447841429833221 0.436783602639372 0.469156751701564 0.414531303579779 0.424920766872759 0.430293760066504 0.458240453057619 0.405468280771029 0.415863251415805 0.479413207253078 0.535927261391386 0.433698342598847 0.488037720164181 0.470645607107601 0.54147087857848 0.439630280043643 0.477469631630904 0.443193432742765 0.538096326700265 0.429219099080376 0.488349768795137
"K20_1S2" 0.1894593443134 0.151417052008105 0.154891567517016 0 0.216342079285083 0.1408136332935 0.203307944095184 0.0772376993817218 0.19888398191926 0.147143554839715 0.192090195874682 0.0910065984309243 0.439539876344365 0.442094040629709 0.403414869849847 0.407731906271107 0.421338702135398 0.436868083337663 0.397570634384579 0.39006349041409 0.420014755546319 0.430543669143243 0.377742193588611 0.377346391645451 0.469994180911311 0.510816438925547 0.416635943263885 0.451480230685302 0.45988611212137 0.518139242479347 0.420178209591105 0.43780942484543 0.425267106562062 0.514742972930846 0.406811139398348 0.449300358497428
"K20_2M10" 0.126674598638749 0.197880189120382 0.191259624876604 0.216342079285083 0 0.190934587208396 0.22788029303268 0.217557853171923 0.101897438561854 0.176052060061308 0.186313191666234 0.210155868447031 0.503344001662597 0.515094092585858 0.505151763911259 0.521073725775446 0.485984828804489 0.516070244713462 0.489093365199771 0.502051020938328 0.470585130150153 0.503979841014184 0.478670546059126 0.492618278173222 0.496405050137684 0.566752117213072 0.48812126565179 0.568799189484075 0.498171247467138 0.565055748947888 0.497012937081104 0.561426508027225 0.473838624201174 0.575263053982439 0.497868343118408 0.569191977970593
"K20_2M2" 0.154308099963631 0.112736426456071 0.189908972826934 0.1408136332935 0.190934587208396 0 0.247044838156596 0.135282901231361 0.167214942588455 0.0961984724892191 0.20692544292617 0.145857328414818 0.445243934119603 0.444682807710293 0.42469974541487 0.437736582324518 0.419405206006131 0.445138463137112 0.412152439341196 0.418405154049982 0.409811814828285 0.432940406297085 0.402084480698291 0.410304774770094 0.454987478568089 0.500225074037512 0.422627422455448 0.485487296721567 0.445933807866161 0.507001714552917 0.428547929547462 0.474243674338858 0.41967662492856 0.506210422403491 0.422642178001767 0.483109367693667
"K20_2S10" 0.232293552241908 0.242571101989921 0.140037824076479 0.203307944095184 0.22788029303268 0.247044838156596 0 0.216757312827973 0.233184288460539 0.248566322024212 0.137345040785577 0.204147139813997 0.48020314854263 0.499167246843664 0.443087026549592 0.463264404842313 0.460263417675482 0.493585078194004 0.427610017145529 0.450170831817946 0.458112017457266 0.490176650906635 0.408244921286434 0.432474047903569 0.512382397256715 0.557793318439237 0.463055956772484 0.505773990751806 0.50341050553333 0.566948823193225 0.464879098041253 0.495814620460331 0.470467501428794 0.559616979269496 0.45427661453733 0.502889177534161
"K20_2S2" 0.189896399438874 0.149424637605861 0.164072738608614 0.0772376993817218 0.217557853171923 0.135282901231361 0.216757312827973 0 0.201853899308983 0.141160804281187 0.203815347846418 0.0885870005715176 0.43455956772484 0.437881020418767 0.406237023951785 0.410021613757988 0.42094227671845 0.432949550579311 0.402114719177015 0.387363225437731 0.416451498934899 0.425121213695641 0.380167922273601 0.376147659375487 0.466198160752325 0.511598067231257 0.418184028679794 0.45156533485738 0.456452538057879 0.517375175352003 0.423479503299215 0.439055229386398 0.428032108900088 0.514287629240921 0.412305294331584 0.450783498727074
"K20_3M10" 0.106996622850314 0.171596196809892 0.186543045669455 0.19888398191926 0.101897438561854 0.167214942588455 0.233184288460539 0.201853899308983 0 0.15451862627942 0.182037096690393 0.199911570634385 0.488886995375903 0.497741777939419 0.48653857744064 0.499643269080896 0.469865017924871 0.4975852860186 0.471535304203252 0.483393048267262 0.456860601652206 0.486352886164078 0.461091910427599 0.472359536551151 0.480563724216761 0.546417519613446 0.46964669818673 0.547306489323011 0.47903309606692 0.544833168805528 0.478154725411752 0.540300826102769 0.454164700992362 0.5539475242895 0.478660674390814 0.547789785421105
"K20_3M2" 0.142815711539461 0.112774250532551 0.189648672520393 0.147143554839715 0.176052060061308 0.0961984724892191 0.248566322024212 0.141160804281187 0.15451862627942 0 0.199075804021406 0.144426352158778 0.457679534472905 0.460216761053671 0.441219618641866 0.454262274640204 0.438168857484283 0.459896191614278 0.430289395749987 0.434199407699901 0.424466981867304 0.446763859302748 0.419661141996155 0.426747960721151 0.467238115030914 0.516484439133371 0.439441679222736 0.500114303527822 0.457845066763651 0.522419078297917 0.443797994492648 0.492422507403751 0.439144593962696 0.522586688834624 0.439976307996051 0.500799189484075
