"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 0.014210437235543 0.0133753455571227 0.0196552891396333 0.0185865162200282 0.0136101551480959 0.0174463187588152 0.0201560507757405 0.014237856135402 0.01478341325811 0.0214942736248237 0.0204335119887165 0.456511819464034 0.206495345557123 0.398417150916784 0.161637348377997 0.581337997179125 0.209621100141044 0.378383638928068 0.339318928067701 0.36435215796897 0.173629901269394 0.384474245416079 0.377144598025388 0.885216473906911 0.683333596614951 0.885409083215797 0.574563836389281 0.831967052186178 0.726386911142454 0.787878928067701 0.675876558533145 0.819926770098731 0.722432722143865 0.795164344146685 0.669724005641749
"K20_1M2" 0.014210437235543 0 0.0149930606488011 0.0175970662905501 0.0206671932299013 0.0128673624823695 0.0193457827926657 0.0202895345557123 0.0167952609308886 0.0125103526093089 0.0217831311706629 0.018688293370945 0.45852874471086 0.209213878702398 0.400688519040903 0.16377466854725 0.584647447108604 0.211802990126939 0.379891452750353 0.342375176304654 0.366929196050776 0.17567221438646 0.387216022566996 0.378886770098731 0.887902623413258 0.685507023977433 0.887451509167842 0.57684197461213 0.834089139633286 0.729104090267983 0.791530155148096 0.679507926657264 0.824253314527504 0.724098730606488 0.799257433004231 0.671510634696756
"K20_1S10" 0.0133753455571227 0.0149930606488011 0 0.0212673624823695 0.0218713681241185 0.014562143864598 0.0200090267983075 0.0223572355430183 0.0126894217207334 0.0158218335684062 0.0192793229901269 0.0220636389280677 0.455855796897038 0.206091509167842 0.396981551480959 0.161883215796897 0.58023119887165 0.207742510578279 0.378693822284908 0.338414894217207 0.362075825105783 0.171692863187588 0.382716953455571 0.375899238363893 0.884017150916784 0.681246600846262 0.882767277856135 0.573166939351199 0.830469732016925 0.726316163610719 0.7865658674189 0.675071593794076 0.819780987306065 0.721819012693935 0.793266685472496 0.667940084626234
"K20_1S2" 0.0196552891396333 0.0175970662905501 0.0212673624823695 0 0.00943627644569817 0.0157605641748942 0.0110647108603667 0.00916174894217207 0.0230576022566996 0.0125806488011283 0.0294538787023977 0.00847932299012694 0.464084174894217 0.214618110014104 0.405434809590973 0.168939351198872 0.589072947813822 0.217316558533145 0.383248519040903 0.347798702397743 0.372139012693935 0.181297038081805 0.3912917348378 0.386422905500705 0.893442595204513 0.69117562764457 0.893389111424542 0.582703187588152 0.841182623413258 0.735393511988716 0.794707700987306 0.683805698166432 0.82674538787024 0.730035768688293 0.802866008462623 0.676488913963329
"K20_2M10" 0.0185865162200282 0.0206671932299013 0.0218713681241185 0.00943627644569817 0 0.016526149506347 0.0106190126939351 0.00874335684062059 0.0235608462623413 0.0155151480959097 0.0318322143864598 0.0099802538787024 0.465080733427363 0.215824767277856 0.407168067700987 0.170699464033851 0.590123554301834 0.218619012693935 0.384614499294781 0.349217940761636 0.374034076163611 0.182658392101551 0.392942510578279 0.387648631875881 0.894402256699577 0.692018279266573 0.894206713681241 0.583127108603667 0.842022228490832 0.735717348377997 0.795304823695346 0.6844176022567 0.826386459802539 0.73106730606488 0.803386967559944 0.677766995768688
"K20_2M2" 0.0136101551480959 0.0128673624823695 0.014562143864598 0.0157605641748942 0.016526149506347 0 0.015151706629055 0.0183388434414669 0.0162811847672779 0.0113811001410437 0.0223935684062059 0.0172530324400564 0.457184992947814 0.208071424541608 0.398343582510578 0.161934217207334 0.582172411847673 0.210676671368124 0.376514527503526 0.340602313117066 0.364729365303244 0.17379509167842 0.383799492242595 0.377743751763047 0.885200902679831 0.684152440056418 0.885588490832158 0.574928293370945 0.832659181946403 0.727057715091678 0.789058166431594 0.676609308885755 0.823254499294781 0.723376022566996 0.795944485190409 0.66998442877292
"K20_2S10" 0.0174463187588152 0.0193457827926657 0.0200090267983075 0.0110647108603667 0.0106190126939351 0.015151706629055 0 0.0119559943582511 0.0203054442877292 0.0149347249647391 0.0293860648801128 0.0111100705218618 0.462555486600846 0.213550803949224 0.404578053596615 0.16767706629055 0.587231142454161 0.21579215796897 0.382192383638928 0.34571023977433 0.370443667136812 0.179690380818054 0.389993681241185 0.385044400564175 0.892114866008463 0.688717968970381 0.890765472496474 0.580435430183357 0.839341269393512 0.733611170662905 0.792402820874471 0.682170944992948 0.824142736248237 0.728812299012694 0.800944767277856 0.675715655853315
"K20_2S2" 0.0201560507757405 0.0202895345557123 0.0223572355430183 0.00916174894217207 0.00874335684062059 0.0183388434414669 0.0119559943582511 0 0.0244710860366714 0.0153014386459803 0.0310946121297602 0.00727503526093089 0.466228152327221 0.217616135401975 0.408610098730606 0.171346798307475 0.590995655853314 0.219515712270804 0.386049985895628 0.349752552891396 0.374439717912553 0.183263300423131 0.393990070521862 0.389295007052186 0.895604513399154 0.692826516220028 0.895354696755994 0.584733201692525 0.843828152327221 0.737377940761636 0.797360789844852 0.685508039492243 0.82816880112835 0.732639887165021 0.805231932299013 0.678813878702398
"K20_3M10" 0.014237856135402 0.0167952609308886 0.0126894217207334 0.0230576022566996 0.0235608462623413 0.0162811847672779 0.0203054442877292 0.0244710860366714 0 0.0172892524682652 0.0176626234132581 0.0237886600846262 0.453829619181946 0.203395430183357 0.395518645980254 0.15917269393512 0.578109449929478 0.206277574047955 0.375336191819464 0.336588998589563 0.360502566995769 0.170643610719323 0.380831706629055 0.373903977433004 0.884152440056417 0.679576417489422 0.881800620592384 0.571453540197461 0.829011565585331 0.724212016925247 0.784910014104372 0.674726995768688 0.819371509167842 0.719765416078984 0.793362031029619 0.666024936530324
"K20_3M2" 0.01478341325811 0.0125103526093089 0.0158218335684062 0.0125806488011283 0.0155151480959097 0.0113811001410437 0.0149347249647391 0.0153014386459803 0.0172892524682652 0 0.0234491396332863 0.0146548942172073 0.45899215796897 0.208801354019746 0.399824541607898 0.163048688293371 0.583194583921016 0.211860310296192 0.379382566995769 0.342056304654443 0.36654634696756 0.175158589562764 0.38572682651622 0.379643779971791 0.887514922425952 0.685237686882934 0.887540648801128 0.57642538787024 0.834964174894217 0.729678871650212 0.78939610719323 0.678507531734838 0.822839379407616 0.724542059238364 0.796927165021157 0.671935684062059
