"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 0.202244793712889 0.205139771249884 0.228657978731223 0.173626893379746 0.211459436954078 0.219471453816843 0.234470293755562 0.167041281048304 0.202540263221178 0.206382388068637 0.221528750512796 0.451779894210958 0.474298871738071 0.459738465217255 0.489747355561375 0.446366681187867 0.47035055479637 0.452170850335931 0.482746510116029 0.436538788430605 0.46677670890261 0.441858083316681 0.462860995776675 0.453736953831334 0.520485731357242 0.463101371246588 0.526177005307202 0.469727308407931 0.520315578748734 0.47588967702042 0.52123263133304 0.45320728598959 0.517905025076122 0.463624903826121 0.53030617737498
"K20_1M2" 0.202244793712889 0 0.22468588317272 0.202828496799274 0.2109499772287 0.180973770014436 0.247489787072795 0.205345499860926 0.201330309432872 0.181453100890204 0.231962555050648 0.19906068120469 0.4461787063005 0.457508593742082 0.446184416979673 0.467742397380774 0.439426967997259 0.452660429196383 0.439879002579835 0.459866801962527 0.434913914189765 0.450205582174161 0.432192414893326 0.438390092744263 0.457671971402043 0.509311855222392 0.461337583757624 0.509124895486007 0.470243751688456 0.51081044967753 0.472286473704468 0.503480765587193 0.455060456927818 0.511508275919948 0.458995386051584 0.514593208768111
"K20_1S10" 0.205139771249884 0.22468588317272 0 0.217221515025662 0.211482649490191 0.223937512321021 0.196954016309208 0.224438851979134 0.209866671131934 0.226534331891499 0.18942042927451 0.212883756666683 0.445755395793526 0.468259476789902 0.435032777081823 0.474519745256445 0.440448947491914 0.465154396650432 0.427245374251129 0.464318938024129 0.432689485711559 0.461580427891256 0.423387223483844 0.442258909651443 0.451953631176044 0.517708605475146 0.447350869574442 0.506705004886015 0.46487781104409 0.518644410104637 0.462241771544841 0.49839357264731 0.4469801837712 0.516651818042389 0.448541611791695 0.510543949980213
"K20_1S2" 0.228657978731223 0.202828496799274 0.217221515025662 0 0.232345217482192 0.189874663685229 0.238908234657896 0.176316393417197 0.229065484944368 0.197537853944633 0.234086800968373 0.170786515436736 0.437908540890646 0.446527275609631 0.429884487673212 0.445648468311859 0.428182463159395 0.443588798070636 0.422402035687826 0.437278734324666 0.424041835084065 0.443762157503823 0.409475274552629 0.421326134679761 0.454987278200827 0.50304761161981 0.443697003561124 0.488630345042309 0.464475066602797 0.504524833382152 0.455077539832082 0.481185648583369 0.442635431034299 0.503371162125261 0.439430390530027 0.49247417908817
"K20_2M10" 0.173626893379746 0.2109499772287 0.211482649490191 0.232345217482192 0 0.220787565040083 0.210668705849255 0.238350695411754 0.16417689773519 0.211777620419487 0.205012740709066 0.228380247756119 0.462219153690764 0.486805629645293 0.47121323018004 0.500504993672891 0.456893409601563 0.48703765100599 0.462916649582959 0.494345562881248 0.448178014878058 0.48161035717404 0.453502846901934 0.475295483346643 0.463949565855262 0.533039249417914 0.471801846961604 0.539307147179245 0.48021582751206 0.529640896869115 0.485249107123492 0.532751680735498 0.46286690875403 0.527316632889185 0.476944863631818 0.541678476869228
"K20_2M2" 0.211459436954078 0.180973770014436 0.223937512321021 0.189874663685229 0.220787565040083 0 0.250347489079984 0.19058392706385 0.211211959514116 0.179374632956182 0.238991617274352 0.186986313199281 0.433212877887374 0.439800750640086 0.42962795038044 0.450267716849377 0.422132962099106 0.437549759455991 0.424951587215697 0.44455583377179 0.41774309210143 0.435408254286494 0.415446040487531 0.427184097349762 0.443239058557145 0.491574402742701 0.444196864276628 0.492651897746017 0.457050273131061 0.492971772892681 0.455711126086697 0.485454150348573 0.434632242515133 0.495477753866716 0.443975415971156 0.495679907432094
"K20_2S10" 0.219471453816843 0.247489787072795 0.196954016309208 0.238908234657896 0.210668705849255 0.250347489079984 0 0.248614224734001 0.217121231664994 0.246328720791828 0.193267723531185 0.236564560280647 0.465378000157797 0.488959236607034 0.456519418344628 0.493894109708301 0.45886899688248 0.487704001117886 0.444452394720801 0.484353037422773 0.448600391497703 0.486161254520143 0.44042582683423 0.466042337130784 0.471261436501965 0.535397375314023 0.465135123756265 0.525156221139352 0.486476396926633 0.535724461346765 0.477628115976846 0.519771965859024 0.463165414327235 0.534434870677018 0.467998675955064 0.530654028828105
"K20_2S2" 0.234470293755562 0.205345499860926 0.224438851979134 0.176316393417197 0.238350695411754 0.19058392706385 0.248614224734001 0 0.232193067361089 0.201453225636347 0.244688789332453 0.174653050089395 0.427179848301526 0.437428123467548 0.423087974160238 0.437000151380075 0.417591172486451 0.433144381553926 0.419277766431695 0.427967376635898 0.415691258546426 0.43029476519738 0.400242989412371 0.410799241818856 0.444544475772178 0.494133828357726 0.432505465585242 0.482544048845561 0.456891510785588 0.493763479574033 0.448057147605322 0.472797734916949 0.435036315913711 0.494728344554935 0.432700165872609 0.485603828666219
"K20_3M10" 0.167041281048304 0.201330309432872 0.209866671131934 0.229065484944368 0.16417689773519 0.211211959514116 0.217121231664994 0.232193067361089 0 0.202950722631704 0.199278045441541 0.223161988838795 0.456340488144326 0.474959607804623 0.461834461455583 0.489131434197196 0.449991011940817 0.474239090270235 0.454127258690162 0.485319248171245 0.441638706683334 0.47108534533511 0.448142438525886 0.46724842111894 0.45718752332774 0.519877797754961 0.465641300908935 0.527534820520802 0.471231003316929 0.52060605250985 0.478263837231142 0.52252889294472 0.454953593082492 0.518419109444452 0.469138149247318 0.531126877050131
"K20_3M2" 0.202540263221178 0.181453100890204 0.226534331891499 0.197537853944633 0.211777620419487 0.179374632956182 0.246328720791828 0.201453225636347 0.202950722631704 0 0.232167866202989 0.193743335385182 0.447070542516226 0.45858037471062 0.448768459308479 0.470090344160767 0.441081053728608 0.454374279819511 0.442408019470888 0.464762717231269 0.434311457668585 0.451752147606305 0.432360945029956 0.44565148326029 0.456234478391174 0.512390631794508 0.462011287394612 0.512310760436095 0.470781644805824 0.513500475464904 0.475410245669052 0.50613107713818 0.454293594782338 0.513428034537111 0.463509200821853 0.516486571279688
