"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 0.248840786101087 0.256946958979859 0.264089998351823 0.264900123817656 0.235223905619343 0.263129463475236 0.27408148671281 0.259458579022998 0.256125100366212 0.26442230346936 0.255585220555581 0.508783535366792 0.455669698045849 0.515637996281063 0.441559297666702 0.539659734517199 0.471696014745381 0.487223710457259 0.494895222854056 0.511488875690155 0.454982767331581 0.517997510060439 0.519839322323144 0.677314487291063 0.643006784062615 0.670333151295943 0.606643071845859 0.659198247839525 0.652319082078971 0.628102482343831 0.603197527502609 0.63643849730357 0.656913411634842 0.619582930680624 0.607128728699372
"K20_1M2" 0.248840786101087 0 0.249562824250466 0.262602622622644 0.276390783527223 0.227364449180199 0.273147643101598 0.284292740575443 0.255572917234618 0.235196968615083 0.269597416591188 0.271590843366218 0.520776499010599 0.466448064586383 0.511137856663 0.433689943941132 0.552164832693983 0.481247443635132 0.493694180343473 0.498819816926306 0.52256243278646 0.451327102831001 0.517609995314098 0.516956510617555 0.680445792976166 0.646172003091679 0.668443544000793 0.595943973100102 0.657975743968031 0.651159104117118 0.643006027712011 0.614834151978135 0.638012406228377 0.647354738595277 0.640046999968723 0.595326397375255
"K20_1S10" 0.256946958979859 0.249562824250466 0 0.272029169087824 0.264594363639512 0.247655323712101 0.265679401097482 0.260338728285994 0.239394877845098 0.246577688663578 0.258494714597339 0.265678031521385 0.505418963199304 0.461286860492504 0.492919075622563 0.442241754967026 0.542116509386686 0.470850043067144 0.494611166615187 0.490679362863423 0.504464497836989 0.43949814380728 0.505479638233118 0.518335514162036 0.681349107298092 0.633081415248445 0.647855106541681 0.59970678906552 0.66018280976053 0.659490905947468 0.620674603534897 0.606901047770294 0.626003337268063 0.666744051782019 0.618740301718207 0.600203751448442
"K20_1S2" 0.264089998351823 0.262602622622644 0.272029169087824 0 0.229110580439812 0.243414896555283 0.253844182970311 0.235149106972798 0.278198661891646 0.223576879071798 0.296164701238344 0.237609333110212 0.540543918000361 0.474777612502194 0.517828919374813 0.450651718158776 0.575979202847536 0.490302416731601 0.493447026673628 0.524304239457655 0.533341810178713 0.472067482432774 0.535997365963789 0.548483811140827 0.714356617324754 0.665317557953285 0.702123205606362 0.632362194039937 0.697081828159367 0.683995821401041 0.651302478606445 0.634409888944758 0.658623619794244 0.682690112696098 0.656398068145798 0.6087022434985
"K20_2M10" 0.264900123817656 0.276390783527223 0.264594363639512 0.229110580439812 0 0.252574725035013 0.245803301276857 0.239106436372523 0.283571221379139 0.237534719787665 0.313673167705746 0.250141261466737 0.535875762015328 0.486198664338385 0.537346959372081 0.469554217446346 0.570887687834586 0.503622456775183 0.50967308936721 0.534651451024782 0.546154508753616 0.48102891022125 0.541374477996835 0.549340815468996 0.725965974277539 0.678712569781322 0.698232354004161 0.632221737245919 0.700020703599329 0.683609629108596 0.650506382833203 0.635162429911317 0.657155564542297 0.697219755940607 0.6577811522633 0.628602902213917
"K20_2M2" 0.235223905619343 0.227364449180199 0.247655323712101 0.243414896555283 0.252574725035013 0 0.250027811456649 0.262912090023809 0.256099019800483 0.222039382150407 0.252311909792959 0.236534778260106 0.522346664369461 0.47926746427337 0.506394630906582 0.432166623197215 0.554760200545888 0.484985983011141 0.477741761256364 0.502934660607525 0.513354226489177 0.447483253212959 0.514266117833467 0.517092737409937 0.685169067342624 0.651567976243592 0.674874137674882 0.606197500093875 0.671360601492883 0.654735972700931 0.631228333921289 0.612080055088384 0.645233866143346 0.674784352727425 0.623778045847825 0.609761758051485
"K20_2S10" 0.263129463475236 0.273147643101598 0.265679401097482 0.253844182970311 0.245803301276857 0.250027811456649 0 0.244782087655222 0.252802291267165 0.256300769896515 0.271630196494333 0.219658275409272 0.538094497723356 0.490338919756741 0.528411909026958 0.446689697311808 0.564804092979921 0.494795035545927 0.508513864170757 0.51445519622106 0.531952853940628 0.470484489291895 0.528205403680468 0.566119357450313 0.722465754287318 0.660791879528613 0.68288550875451 0.627521444127363 0.704969663035399 0.69497594472627 0.632952776789311 0.642090974982702 0.655860225160365 0.696480990447171 0.652445172799032 0.644953499177856
"K20_2S2" 0.27408148671281 0.284292740575443 0.260338728285994 0.235149106972798 0.239106436372523 0.262912090023809 0.244782087655222 0 0.271048218334782 0.251744138654619 0.293365203429553 0.227942797451282 0.543851078469715 0.491537487378389 0.53180573722171 0.445898133685593 0.566635244769535 0.495938215593216 0.500091213334412 0.518509853827827 0.535663040312727 0.472865539328797 0.541247237368278 0.564647121660288 0.725090502339507 0.663575058507055 0.700088849876832 0.63659244638858 0.704934710876327 0.689756671060174 0.663151045413875 0.634585130579578 0.666970218999764 0.697191956024587 0.66473389771576 0.631415523959607
"K20_3M10" 0.259458579022998 0.255572917234618 0.239394877845098 0.278198661891646 0.283571221379139 0.256099019800483 0.252802291267165 0.271048218334782 0 0.255491795977444 0.257550570206084 0.255740460489768 0.513223647195958 0.448472512607477 0.492095868891376 0.434452402367262 0.539019678895174 0.461648744101365 0.492751688552548 0.487981025930717 0.499096854703098 0.450339990808316 0.504126485245038 0.517695622733945 0.69063157483009 0.625391391566054 0.647703265428942 0.593467771706045 0.655607491793705 0.658522939775709 0.617258868299183 0.617025711306944 0.638810454587404 0.652721262521038 0.630551842482566 0.58724689864405
"K20_3M2" 0.256125100366212 0.235196968615083 0.246577688663578 0.223576879071798 0.237534719787665 0.222039382150407 0.256300769896515 0.251744138654619 0.255491795977444 0 0.265649575236601 0.222128407302033 0.520154171176561 0.45840646052912 0.495605190612794 0.422804743160129 0.548593621904111 0.476126062085712 0.479893304502432 0.489601729074069 0.51312159187382 0.439376483038238 0.51591888514584 0.522096842151212 0.682078551557328 0.634933136707369 0.660598470404086 0.599240702059365 0.659205242651236 0.654408621355745 0.617798632441809 0.606865299233378 0.630176344746645 0.654337106582382 0.614023547566319 0.598066998781465
"K20_3S10" 0.26442230346936 0.269597416591188 0.258494714597339 0.296164701238344 0.313673167705746 0.252311909792959 0.271630196494333 0.293365203429553 0.257550570206084 0.265649575236601 0 0.265695240132896 0.501480950418107 0.469975724403703 0.490994512486137 0.421704821347992 0.536157561064892 0.469467889966589 0.500880254041883 0.473752585587779 0.492176307975681 0.430871886436642 0.502401248653173 0.507263698880653 0.68653080270749 0.625605683698589 0.637605235556056 0.605402303914888 0.663443437210674 0.665303498651284 0.614893011521694 0.614545947249314 0.645444355579389 0.67179610877754 0.627422709269394 0.609120226203839
"K20_3S2" 0.255585220555581 0.271590843366218 0.265678031521385 0.237609333110212 0.250141261466737 0.236534778260106 0.219658275409272 0.227942797451282 0.255740460489768 0.222128407302033 0.265695240132896 0 0.533567057342089 0.480478582819272 0.525205851969736 0.446295659016197 0.570806487983258 0.49677853649509 0.508430629562986 0.515871950958942 0.528119071709422 0.475419855507716 0.530159687956189 0.553303197272425 0.725269460527418 0.659143436206115 0.683868624912778 0.631208829380245 0.704891727912917 0.690660590660072 0.643175277659819 0.640281212315403 0.657463052282772 0.694758035014554 0.65124356808662 0.635443748836993
"K21_1M10" 0.508783535366792 0.520776499010599 0.505418963199304 0.540543918000361 0.535875762015328 0.522346664369461 0.538094497723356 0.543851078469715 0.513223647195958 0.520154171176561 0.501480950418107 0.533567057342089 0 0.348179523154302 0.278635600470592 0.355981073637193 0.332460266271462 0.339654139467143 0.302008988330127 0.334930922952583 0.304357576698246 0.351304358075766 0.301178710634928 0.374313047121619 0.504248108673015 0.490386425834977 0.463098989781975 0.416145255746277 0.4849231086821 0.517340298593598 0.450846545547099 0.467137188317859 0.412677595495098 0.507922468289642 0.428574865270125 0.446673922368901
"K21_1M2" 0.455669698045849 0.466448064586383 0.461286860492504 0.474777612502194 0.486198664338385 0.47926746427337 0.490338919756741 0.491537487378389 0.448472512607477 0.45840646052912 0.469975724403703 0.480478582819272 0.348179523154302 0 0.346330271499413 0.294927011825586 0.415918664609989 0.294380407964685 0.369247130291072 0.309175619626323 0.365893044857511 0.288827106506056 0.368054198422852 0.346333157916419 0.55788610832289 0.513859951084772 0.525325609398843 0.452926075290239 0.538377474818317 0.533438816047788 0.525617860726465 0.507673233735638 0.499163618689045 0.524545236170657 0.505435684258226 0.495746588111701
"K21_1S10" 0.515637996281063 0.511137856663 0.492919075622563 0.517828919374813 0.537346959372081 0.506394630906582 0.528411909026958 0.53180573722171 0.492095868891376 0.495605190612794 0.490994512486137 0.525205851969736 0.278635600470592 0.346330271499413 0 0.357514758398943 0.327451766259481 0.348757431789754 0.27952690317034 0.303058303678006 0.30348973008311 0.365009298742258 0.323353306223589 0.358805412538144 0.505819514970798 0.483484963333211 0.466801506916265 0.402231439772164 0.500452774975466 0.514846034885794 0.456177200855162 0.469183279374996 0.416930468798137 0.511548813089473 0.435421649928148 0.448041233426865
"K21_1S2" 0.441559297666702 0.433689943941132 0.442241754967026 0.450651718158776 0.469554217446346 0.432166623197215 0.446689697311808 0.445898133685593 0.434452402367262 0.422804743160129 0.421704821347992 0.446295659016197 0.355981073637193 0.294927011825586 0.357514758398943 0 0.398298188438678 0.321650374015056 0.358706290160296 0.323387555279362 0.366267650325607 0.290837119414529 0.34997983595884 0.350517973532922 0.550891439075977 0.50262594540075 0.531230565175618 0.448889021997325 0.563866869924699 0.543149903348777 0.520592644959863 0.508017080388327 0.499805440557059 0.546585722651268 0.513273316738988 0.505139756218636
"K21_2M10" 0.539659734517199 0.552164832693983 0.542116509386686 0.575979202847536 0.570887687834586 0.554760200545888 0.564804092979921 0.566635244769535 0.539019678895174 0.548593621904111 0.536157561064892 0.570806487983258 0.332460266271462 0.415918664609989 0.327451766259481 0.398298188438678 0 0.390460631913194 0.318928705397239 0.370599289616456 0.354859630823157 0.400458820093898 0.351949662502085 0.416614297822834 0.481582672857617 0.491935032461203 0.444454631592004 0.419248864052668 0.478563486397572 0.517183005320827 0.447408789212028 0.477916646771826 0.402529078284104 0.522520182736241 0.437397362027334 0.490847167720496
"K21_2M2" 0.471696014745381 0.481247443635132 0.470850043067144 0.490302416731601 0.503622456775183 0.484985983011141 0.494795035545927 0.495938215593216 0.461648744101365 0.476126062085712 0.469467889966589 0.49677853649509 0.339654139467143 0.294380407964685 0.348757431789754 0.321650374015056 0.390460631913194 0 0.360406046486321 0.320682237301187 0.349019536612935 0.296716844925517 0.359042427125645 0.367344672621028 0.548253608767631 0.490733472223475 0.525784824289485 0.438942883419135 0.533973178659057 0.520022421386277 0.506608705129743 0.48884760893999 0.501535177156948 0.523143570854179 0.515989378652995 0.491758909356205
"K21_2S10" 0.487223710457259 0.493694180343473 0.494611166615187 0.493447026673628 0.50967308936721 0.477741761256364 0.508513864170757 0.500091213334412 0.492751688552548 0.479893304502432 0.500880254041883 0.508430629562986 0.302008988330127 0.369247130291072 0.27952690317034 0.358706290160296 0.318928705397239 0.360406046486321 0 0.320720888335667 0.326506488631334 0.374912196679164 0.32806603080103 0.359256088481414 0.508879389847028 0.515357935588777 0.515108564054104 0.401319158462329 0.509786681860438 0.507073669163628 0.488020968380282 0.470043717471309 0.413729200612315 0.525707514296776 0.44771943876158 0.479074383511317
