"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 3747.95130304552 4289.5430752086 5218.44079392031 2377.95344653864 2941.90965299598 6397.90396873475 5047.14680201128 1468.8059347026 2537.48323992814 4475.3871886924 5932.51598888408 8196.76085250969 8150.04464106781 8646.57995041782 8185.08963010687 7480.89776727358 8425.82775845502 7630.50546662169 7817.6142367775 6891.34773656896 7784.17259399318 8363.3188622918 8601.65878959233 8316.88309518031 9629.14080356549 8006.0427074729 10213.9679521442 8152.06825640055 9389.95164797009 7583.51439587209 9881.86804617245 7358.41647757462 10293.7228212736 8135.61319921569 9980.68629863114
"K20_1M2" 3747.95130304552 0 3518.45853496259 2991.79705848275 5664.44300815259 2109.51408477635 4972.89166152477 2802.11963599383 4363.57943476293 1985.32801954503 4075.63405514509 3421.25774151476 7145.71060377232 7052.77222382132 7133.79047749841 6500.95226839307 6635.84050546751 7038.65751895412 6612.08362341099 6375.88781866554 6558.9803574044 6569.86880574967 6563.11748399382 6622.01860929873 8553.02212931867 9308.17850893208 7928.89530575222 8995.26987200107 8194.69476654043 9253.28977730307 7409.49912687065 8619.72143771663 7546.59054856574 9720.10049615872 7624.24498798832 8665.04245224102
"K20_1S10" 4289.5430752086 3518.45853496259 0 2796.23831336655 5650.35633613435 4018.65502354494 2976.73445108669 2827.62120644191 4660.46936214351 3556.61832318595 2099.34390880107 3003.15922184052 8011.60419572472 8259.45135262152 7440.32196083457 7363.08181496674 7531.51375123271 8339.90434537419 6880.08401317578 7160.10532847862 7208.58576648719 7839.1490190434 6969.82547910562 7576.59545670708 9077.16876007187 10159.9292352001 7928.41507175717 9466.29270092799 8744.33335876307 10025.7466581221 7392.10677744189 9142.16843134136 8107.27795312506 10578.6305471579 7815.25782049764 9115.45242396434
"K20_1S2" 5218.44079392031 2991.79705848275 2796.23831336655 0 6803.70191700198 3513.22089080976 3818.19085797173 880.947835427475 5640.5236178022 3456.19348820382 3769.6243992767 1633.47196191843 8116.4369555576 8088.13372540416 7389.10481360471 6790.7186626551 7557.44006017947 7988.30969868051 6940.82757575719 6711.70182990992 7552.56548922861 7601.13060333343 6712.93458807035 6892.49619144668 9476.64529646292 10129.0203352384 8143.54571279165 8958.80666642973 9046.22863033374 10144.772629154 7514.29544640744 8539.91787612436 8311.39801009052 10533.6952015243 7637.90722252352 8484.76639469046
"K20_2M10" 2377.95344653864 5664.44300815259 5650.35633613435 6803.70191700198 0 4631.69020863569 7607.85747496248 6663.02458621898 1657.48041006829 4244.1000383409 5345.66865428439 7556.65072560911 9544.86129578706 9480.97610245499 10077.1982352675 9640.23378908672 8747.11744469905 9828.05534988454 8866.84905655833 9255.33862976371 8051.69284855449 9156.32949024013 9870.77434732653 10140.1367671985 8999.88789789203 10404.2791853785 8790.21642543585 11261.6102652078 8952.7965474806 10088.318686906 8437.2728887013 10986.9543880543 8163.56929444756 11137.832694817 9046.0548101225 11079.2026415942
"K20_2M2" 2941.90965299598 2109.51408477635 4018.65502354494 3513.22089080976 4631.69020863569 0 5698.04148547459 3311.64607667597 3447.38364071146 1282.27716705685 4428.36880198851 4307.97611006721 7855.66507836366 7620.33419851666 7973.51875496014 7314.18731109423 7162.69461235623 7714.45692396444 7229.86506660397 7086.32101382107 6977.65621663669 7194.79991234733 7483.46373146578 7608.43767636001 8750.62681514401 9582.81437154367 8133.78940213042 9612.74505053936 8465.83378591512 9545.86793487734 7599.36329716385 9202.49316298372 7643.43798822282 10182.0292538549 7901.32875766275 9231.20700151875
"K20_2S10" 6397.90396873475 4972.89166152477 2976.73445108669 3818.19085797173 7607.85747496248 5698.04148547459 0 4133.13794837504 6663.73127151419 5491.8920140049 3075.23267875412 3863.29483001608 8732.58299595323 9016.1106675057 7800.92070045378 7893.58977184755 8236.74336233565 8963.08521975565 7269.71010420102 7954.93078004567 8186.92993085385 8565.65586654039 7024.40750145309 8073.33331519494 10260.5355046798 10980.175262376 9017.0125840064 10082.1242816232 9877.39480868452 10960.314366365 8336.83003638327 9746.82928077612 9277.78423366234 11271.0557178077 8665.17345375793 9622.0043101055
"K20_2S2" 5047.14680201128 2802.11963599383 2827.62120644191 880.947835427475 6663.02458621898 3311.64607667597 4133.13794837504 0 5495.134907357 3221.75511109775 3952.34781302329 1558.42616728551 7987.01937435631 7917.24788102247 7375.38690473949 6745.00708203926 7501.59301554385 7862.09656186376 7013.26892505722 6627.9354174987 7459.54886715155 7458.00731767642 6787.09507585964 6840.92490118965 9429.19833933018 10135.5320673743 8182.31724609064 9054.02507412869 9018.10181034339 10131.8461556912 7607.48062222968 8652.19308854483 8333.15639766178 10547.2817234373 7758.65385884834 8600.49416599817
"K20_3M10" 1468.8059347026 4363.57943476293 4660.46936214351 5640.5236178022 1657.48041006829 3447.38364071146 6663.73127151419 5495.134907357 0 3017.80993746346 4446.01051689564 6370.28203058579 8694.83950403552 8650.1402894735 9120.85440388538 8664.4186895616 7926.36783564318 8922.37556927598 8017.88145748193 8337.74605370158 7352.00574615604 8276.33810812877 8828.64821884983 9117.51960599933 8575.38739220836 9827.01089597282 8247.95243904179 10455.304616682 8449.02752312979 9578.17247045378 7832.23255024637 10147.2829916033 7647.49972822853 10504.0716353476 8372.04457218387 10218.3639461844
"K20_3M2" 2537.48323992814 1985.32801954503 3556.61832318595 3456.19348820382 4244.1000383409 1282.27716705685 5491.8920140049 3221.75511109775 3017.80993746346 0 3957.15777218723 4106.44628515822 7794.92456147863 7632.59890565845 7917.84819734586 7300.34859809806 7165.38985890161 7770.13655250466 7181.07913910935 7071.79801907836 6874.28965886584 7200.47403094716 7475.0229680765 7611.16660961271 8692.40726768558 9633.36021281765 8056.56948477143 9605.80802550786 8413.33407110423 9537.80489050184 7551.34137919824 9228.12144827246 7667.2312940292 10206.3242602952 7913.28142329516 9250.2607776088
