"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 476.459527700005 371.131072560869 1273.02004768617 1350.37251490408 539.717673878073 1028.54467319123 1476.55085927793 508.311222702459 634.136448185032 1141.90130268873 1451.98804459862 46344.7583283952 18304.1075066522 38400.6597067112 14154.8382257734 55451.8780605429 18419.751525123 36559.0380625963 31375.2325433929 35848.7810141382 15107.5436233805 37489.743418002 35140.0189104406 87791.2119403234 65016.8597535525 87139.3773664746 53760.0234587357 80959.123793276 68423.1345744159 77985.1254619931 67112.5133630628 80796.5802795267 68517.8897172824 78395.3294399813 65260.990110072
"K20_1M2" 476.459527700005 0 534.139905191723 1110.33791382225 1294.09891388286 443.661193714963 1013.31026480457 1350.1129754954 705.70987011913 462.629345312755 1233.09197342351 1282.88164470965 46621.6166514665 18452.7179315536 38639.4913846003 14329.0280379333 55677.6023606235 18580.4306704866 36810.7537049088 31542.8257071788 36114.5079758586 15263.5306017425 37748.3208314759 35283.7190613613 88052.2316346015 65168.4016043608 87389.8351748105 53932.5840651652 81191.0310105695 68571.8474744139 78234.8442024942 67271.4261425578 81039.5729904848 68664.0842080906 78642.2471863023 65442.9622576121
"K20_1S10" 371.131072560869 534.139905191723 0 1480.21434180153 1596.39156677685 616.880999174173 1262.87443171539 1695.97631187412 326.444634480624 794.080538064919 916.961233366049 1658.49073824823 46190.0112202998 18097.9565909864 38223.4459385418 13957.0456400498 55276.6433069242 18210.4610333523 36395.0612365145 31178.2976565792 35686.8620203101 14897.0197634034 37325.1293272934 34937.8540770767 87630.1674407368 64821.668636334 86974.0938410487 53566.7775813976 80787.5691863443 68227.5376446335 77823.9569469361 66928.4542339179 80636.2720392013 68325.0990170734 78233.3273679744 65078.0743810365
"K20_1S2" 1273.02004768617 1110.33791382225 1480.21434180153 0 369.180259653979 1004.3608270262 488.027566931979 316.411775304385 1671.19124697129 743.494546303333 2297.93918522987 245.826122186768 47492.3610674115 19480.6889512076 39567.1486608441 15336.2919143122 56627.3280033224 19603.3453684712 37720.4050955986 32532.8905677908 37017.652578642 16293.8468310101 38659.3995844843 36284.2018698884 88962.3844679376 66155.7567404231 88311.8476434383 54925.7659479411 82128.1286618624 69570.0762397464 79144.40067956 68215.2976043654 81950.8322567371 69651.767255359 79556.2018764961 66396.7622557914
"K20_2M10" 1350.37251490408 1294.09891388286 1596.39156677685 369.180259653979 0 1169.261578532 449.45853529826 301.113596161044 1780.91254661794 917.377588404651 2432.64493796376 393.388924113517 47487.112223572 19590.8381660597 39600.4249478741 15428.3198213119 56665.1831873439 19703.9451808289 37739.2077363794 32622.1342010539 37025.2450263982 16402.0548739064 38673.9140181135 36390.0015754416 88966.7691345008 66231.985602074 88323.4488606507 54994.1000481842 82156.671555342 69651.573049544 79156.3141315673 68275.6821194225 81967.1032997397 69734.3143642597 79570.1148535217 66446.6307440266
"K20_2M2" 539.717673878073 443.661193714963 616.880999174173 1004.3608270262 1169.261578532 0 811.709064540734 1259.71876616526 760.325480575589 430.851416124919 1397.32632902287 1201.74793045432 46586.7192617191 18544.6840210736 38636.7609799416 14398.4396040851 55712.4278901288 18655.4212305279 36809.0990989489 31617.8668724652 36099.337807517 15344.4555634745 37737.8696039109 35383.2898467589 88047.4405209197 65264.9216564586 87397.7704252681 54014.7922741057 81214.9507161162 68677.3228104263 78239.4213786031 67352.9057405894 81053.5011042206 68769.6395304271 78652.1385497449 65509.2651241314
"K20_2S10" 1028.54467319123 1013.31026480457 1262.87443171539 488.027566931979 449.45853529826 811.709064540734 0 640.338789509478 1420.64674312944 680.152993218798 2086.51636294578 652.109729951884 47093.7236975987 19219.7157961639 39204.9797741671 15049.3613347914 56286.4973099069 19324.3658220732 37351.5780071114 32251.9326490276 36632.0018141391 16024.0629446841 38281.218680994 36032.6725937254 88579.7459979799 65880.3627289009 87937.9288471154 54629.0600979811 81778.2089883724 69302.1651133886 78777.1661657542 67929.3394316599 81594.199042046 69390.3518757515 79193.3035060376 66087.2119953872
"K20_2S2" 1476.55085927793 1350.1129754954 1695.97631187412 316.411775304385 301.113596161044 1259.71876616526 640.338789509478 0 1896.82965746465 969.241448860946 2529.45861563469 188.595884495117 47695.5239861177 19718.9471683654 39784.0753747112 15569.1885240217 56838.9994837947 19840.2038170286 37929.8984748819 32758.0017648645 37226.2461408165 16534.104865932 38871.0353537422 36509.0999539706 89169.0773927888 66371.8733961934 88519.5956201868 55144.0105473702 82340.0006888915 69786.3525044876 79352.9828110649 68421.9477476571 82159.1862726151 69866.4513470548 79764.9083807519 66606.7874361171
"K20_3M10" 508.311222702459 705.70987011913 326.444634480624 1671.19124697129 1780.91254661794 760.325480575589 1420.64674312944 1896.82965746465 0 987.859453767887 733.10515174125 1858.80942943999 45971.6302322502 17897.3815260659 38007.1436759761 13751.7917346106 55067.5854606502 18006.3657553424 36180.2325778093 30978.1073436962 35467.4227940932 14694.4307011507 37107.0393512661 34745.7347371658 87415.252423282 64638.4212209974 86760.6771919148 53373.8773601758 80578.3569067182 68041.9743878387 77611.5770200651 66749.2439939503 80424.9688762537 68140.6221883118 78021.1799726287 64888.3850799555
"K20_3M2" 634.136448185032 462.629345312755 794.080538064919 743.494546303333 917.377588404651 430.851416124919 680.152993218798 969.241448860946 987.859453767887 0 1604.2858704632 919.165866737371 46899.8371181751 18810.8236215311 38943.7611476364 14675.9631944037 55997.2162242957 18932.1376539653 37109.3535986818 31886.1919314684 36407.0331462514 15618.0947327448 38044.9835710092 35634.9804062532 88347.6399951919 65511.1227982126 87693.8385707048 54275.0396925545 81500.8557636619 68920.3464916852 78531.3282295569 67598.7440750871 81339.4731308928 69008.676597747 78941.6781026789 65769.4984729719
