"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 0.361880101348809 0.364074210635585 0.390612341044303 0.334552439393818 0.381323952730082 0.369644681135667 0.398370852033673 0.327472029446341 0.371670496366715 0.356530017385273 0.374401400185783 0.523402313085205 0.546609582483215 0.532545447040055 0.565144772700879 0.525973238469201 0.53989308316349 0.542353637866466 0.570227587083004 0.512606715035501 0.537915143264446 0.525056235437523 0.548897867678909 0.528394195727539 0.585823891160258 0.547198902387266 0.592504110390739 0.553225375507952 0.584574609617067 0.558671648076574 0.590487099284973 0.548857892063964 0.578375162962629 0.545456661356994 0.601129092446005
"K20_1M2" 0.361880101348809 0 0.377267292428761 0.375325042714545 0.360743235337127 0.371453536480695 0.386207790634047 0.382074200320699 0.356679973849033 0.370596987443172 0.379338066947184 0.374420153442513 0.534747441284231 0.548156337129142 0.534680492514411 0.565329489550515 0.529640293347556 0.537278650498494 0.538983869404204 0.561599083714466 0.531691843915126 0.544344034160013 0.530560559239001 0.539663901965367 0.548115207328902 0.590642602831992 0.563105744638658 0.596398214052239 0.568258579148006 0.589797347504727 0.567024641774285 0.589998021061976 0.559983707890576 0.592229024809323 0.55727600926802 0.604965938035305
"K20_1S10" 0.364074210635585 0.377267292428761 0 0.396643261169773 0.3671616075337 0.384597929236054 0.374165878745285 0.388472302812478 0.367951234026106 0.387211839489666 0.375607905285316 0.383235821205959 0.52756671351225 0.555442732395661 0.515009430124776 0.567980463281452 0.533309754876479 0.546421479096064 0.527635525830282 0.561678796358393 0.527152566417316 0.54323861889356 0.523067121700244 0.541119397394365 0.531549079403772 0.592738209391284 0.544902710039847 0.590766692489269 0.558788690653327 0.590882386954803 0.56098343261013 0.582707431581027 0.552436281432331 0.586409997400184 0.550195316121265 0.595090475154603
"K20_1S2" 0.390612341044303 0.375325042714545 0.396643261169773 0 0.377454048406632 0.375828052846371 0.399062822961357 0.386559617676663 0.380913722395064 0.374396936038716 0.399039923651472 0.363722026053143 0.541246252109611 0.551967877119387 0.54054617111308 0.562122809061785 0.535721738927357 0.543897890145131 0.542535381213865 0.559238927780857 0.535681848094337 0.553171119315247 0.529016525525562 0.547205616032867 0.561905980874928 0.599459619816363 0.565091875632938 0.596899989476038 0.575939966337067 0.596158596285366 0.570745363953791 0.593260583603983 0.564865054903691 0.59535129165882 0.564260003485487 0.603373508768273
"K20_2M10" 0.334552439393818 0.360743235337127 0.3671616075337 0.377454048406632 0 0.380568187941542 0.366633877126055 0.387212801234076 0.328987977777291 0.372290469584644 0.370239198850345 0.37331308131724 0.527416946676686 0.556127157258546 0.537166183041892 0.568916310587987 0.530261146236702 0.553040625567008 0.545605132195343 0.571195868750584 0.523943437387117 0.54896829881399 0.526969396938833 0.555286967279377 0.531445354205898 0.59651271543687 0.545152490583612 0.601052734118635 0.558431974523578 0.586154162674316 0.560116549756418 0.593339292597714 0.551258882725488 0.580257032091464 0.552695743396854 0.606065760081156
"K20_2M2" 0.381323952730082 0.371453536480695 0.384597929236054 0.375828052846371 0.380568187941542 0 0.396391239715845 0.380517594771239 0.370846524304932 0.37324300104781 0.400570159932471 0.370726647180382 0.527878479657164 0.533566770906124 0.524122800774046 0.55084155706727 0.519357441226515 0.527480393479316 0.533105623040996 0.551306551595627 0.5195029881462 0.532690877865992 0.518617450895901 0.533986921389824 0.539739896558271 0.578393646342274 0.550064567766622 0.586731656954927 0.564358570254015 0.574780034193149 0.558619958574743 0.580180064833905 0.546641273678243 0.580864395786611 0.55241543597338 0.589710188848627
"K20_2S10" 0.369644681135667 0.386207790634047 0.374165878745285 0.399062822961357 0.366633877126055 0.396391239715845 0 0.403713441385646 0.357747231592205 0.387260703529616 0.367738468785833 0.388021568186434 0.545106220577966 0.56564753697217 0.538244840737418 0.580904043008787 0.547941067291971 0.564220265297979 0.547480609654022 0.576731810022269 0.536748077126234 0.564413925029812 0.537526704366194 0.564099460102571 0.546840810415089 0.604710073934724 0.560485837282561 0.603025223023228 0.579368489929568 0.60104572764002 0.571459276793669 0.601089130024243 0.562799210985344 0.603156855118503 0.567309153271364 0.612698309509637
"K20_2S2" 0.398370852033673 0.382074200320699 0.388472302812478 0.386559617676663 0.387212801234076 0.380517594771239 0.403713441385646 0 0.382154027967786 0.382964281793708 0.407975881535206 0.366518106915993 0.520114272895349 0.533662925010727 0.523420093699534 0.542391487665049 0.514439371953397 0.527421770717178 0.529031428631244 0.537331433923923 0.516892969108138 0.527920215324816 0.504223596419069 0.521713241303067 0.541944716071329 0.580311738474234 0.53856926663259 0.587750724656629 0.56261206912454 0.574227686126913 0.553288186238908 0.576564938792866 0.548277120589144 0.578279570634341 0.543014447790601 0.588594121293562
"K20_3M10" 0.327472029446341 0.356679973849033 0.367951234026106 0.380913722395064 0.328987977777291 0.370846524304932 0.357747231592205 0.382154027967786 0 0.364250089936678 0.356860749059099 0.371322101436025 0.527505896255058 0.542988969656426 0.52978765717552 0.560690011407385 0.524818304411412 0.542243153061377 0.53469152170159 0.565733237920854 0.517195172305256 0.542169500451458 0.528454567368292 0.553343487902009 0.530239915305611 0.585723432694994 0.546401109808949 0.59501373064257 0.553516037582171 0.585767200421909 0.558207291288989 0.590889458339759 0.54713595966256 0.582144591842296 0.551319654124481 0.602817738921218
"K20_3M2" 0.371670496366715 0.370596987443172 0.387211839489666 0.374396936038716 0.372290469584644 0.37324300104781 0.387260703529616 0.382964281793708 0.364250089936678 0 0.389239052012598 0.375136509578987 0.531311817325601 0.542990187128173 0.53830466729571 0.563873899296839 0.530967725470206 0.536299114771505 0.540840515382072 0.566750607746623 0.527850950106868 0.539283994406147 0.526740835746649 0.55043635448186 0.544294633937004 0.594947360476953 0.558595580744601 0.60223493397558 0.569571817453542 0.593148416814284 0.578116145361404 0.596569250523476 0.561925006829417 0.595249696964074 0.566392609783193 0.60745980597368
