"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_1M10" 0 0.583609922865496 0.625416788229831 0.634201986036459 0.638407662362536 0.581048948276786 0.628861651482401 0.648814660744634 0.625995149153226 0.644377182689083 0.606512151653318 0.610090740670419 0.660566998349949 0.656214200683457 0.714022117388212 0.69848893932865 0.65389793259876 0.686916141800684 0.680858618319509 0.679973201395998 0.683995083675771 0.672033217084591 0.66237670608657 0.689792747019978 0.657026188780947 0.698951106374936 0.675530822372432 0.692706123455777 0.676726738165333 0.704040410280855 0.692168518926876 0.674255597548955 0.676572335517672 0.692061691151665 0.65514852185595 0.694130353941229
"K20_1M2" 0.583609922865496 0 0.594211017544227 0.630762513857771 0.636208824169221 0.562050339411433 0.608117039066603 0.630010876835549 0.58624771491455 0.588985552409657 0.597658568350894 0.633635500390148 0.685668097834103 0.652949436502616 0.684960275811959 0.649517848194814 0.661058902230935 0.697063596712843 0.680467793333355 0.668280904161699 0.70120225507337 0.640856957747819 0.630388592736453 0.677307392047857 0.650326732819425 0.690677969205114 0.672559397273922 0.653025803261275 0.680036128935385 0.684077959022922 0.70795745478098 0.68187762546123 0.656550994681799 0.670967889627066 0.683631292287406 0.647959846536066
"K20_1S10" 0.625416788229831 0.594211017544227 0 0.637687004736983 0.590484396122118 0.617963432625598 0.614029044360569 0.595876629884804 0.547945147026243 0.595280798295356 0.584563289826332 0.624543433673863 0.639932687913322 0.631461049148303 0.643579203585129 0.66779939218838 0.643569107321859 0.670553986541489 0.675219178782291 0.635093653357392 0.664619086367907 0.616797785654666 0.626168534711999 0.670532184842114 0.677767813791005 0.669433615923805 0.633998927523249 0.672921273057198 0.681650362498267 0.71441265540825 0.655523867084924 0.684292816410296 0.635180287412808 0.716515174174943 0.662392106906305 0.666131305689949
"K20_1S2" 0.634201986036459 0.630762513857771 0.637687004736983 0 0.624880054974288 0.629799605948287 0.651233162636761 0.62771620071515 0.636338571222879 0.606388271636166 0.644888087870536 0.638771496507096 0.696362086104302 0.671627895275658 0.69258484946803 0.708067734057197 0.713882339619654 0.704883294557637 0.694374307164278 0.710787156077214 0.695960252925883 0.698650102159066 0.682532674679938 0.69843021641643 0.697196691672477 0.701979037166848 0.708406606330557 0.723144210275384 0.714957256250882 0.735977439814209 0.704316248323328 0.69741772429788 0.712710180499893 0.712795320039069 0.691317911525987 0.622133469282624
"K20_2M10" 0.638407662362536 0.636208824169221 0.590484396122118 0.624880054974288 0 0.633582174419637 0.626027721564908 0.62692101474874 0.61837949958959 0.601953852791462 0.653107579466782 0.640980617067726 0.6337125734232 0.678321595703062 0.702285418549415 0.695471249876382 0.666033285749531 0.705540825649115 0.70300703986839 0.710585780175218 0.686593987721525 0.683850117914258 0.644212265952314 0.670571149910379 0.694289335601893 0.725871927080009 0.656164746472859 0.700227902086899 0.686685366366271 0.703407530616526 0.680632535183817 0.672532255211094 0.700217922726716 0.732083694191693 0.660393497066583 0.651039454923417
"K20_2M2" 0.581048948276786 0.562050339411433 0.617963432625598 0.629799605948287 0.633582174419637 0 0.611031918399852 0.64554255870863 0.607624589314149 0.610623274854975 0.589496716258143 0.602142748581453 0.666717084145128 0.69287926700844 0.6763389453867 0.661521970085096 0.680455160018958 0.694972448242798 0.652970734958066 0.681227371895903 0.671247199140263 0.644544180662735 0.649269766936635 0.661456763204779 0.663442535641805 0.695039598663874 0.674733751149986 0.676779015659962 0.688031006024625 0.691155979397797 0.661105931855523 0.666663138241376 0.665500109778054 0.716960224271097 0.652259169311121 0.669430148489423
"K20_2S10" 0.628861651482401 0.608117039066603 0.614029044360569 0.651233162636761 0.626027721564908 0.611031918399852 0 0.626492278124255 0.567264533040067 0.610823039610623 0.549460514274027 0.560332662011442 0.644973382060989 0.660258515712403 0.661297553969195 0.62960060958937 0.64388450546776 0.666206677344589 0.68855364735941 0.646632019011643 0.651149959243067 0.645280044319317 0.612539962430515 0.725091881510081 0.70110377000558 0.676446465694024 0.637844111216379 0.682720780301839 0.7199426483523 0.744418224064854 0.638128740552214 0.706658893671653 0.685850960691365 0.745674035632575 0.665758203306825 0.709480201993969
"K20_2S2" 0.648814660744634 0.630010876835549 0.595876629884804 0.62771620071515 0.62692101474874 0.64554255870863 0.626492278124255 0 0.603261218190377 0.625653390455851 0.608563033042319 0.626071643656195 0.679482209009413 0.676978423614433 0.677107698768102 0.64990051273209 0.655270507845694 0.678757077481785 0.687768238490231 0.663994229775976 0.678559294766278 0.68222337212401 0.659537813301368 0.709785836050867 0.713331993938393 0.676318967637265 0.677155662852455 0.708771171901872 0.696383463397241 0.738077131470888 0.709777490178608 0.690846004666339 0.71304776692815 0.729279587315439 0.689768538618417 0.681019143121479
"K20_3M10" 0.625995149153226 0.58624771491455 0.547945147026243 0.636338571222879 0.61837949958959 0.607624589314149 0.567264533040067 0.603261218190377 0 0.592305404267326 0.576765940144241 0.579816669714726 0.650637550438671 0.60462193028094 0.630995235883094 0.655711980077527 0.645956783694361 0.636304442269892 0.688661208064318 0.641085820194307 0.643627411564203 0.644258653090149 0.629394039994902 0.665591319450772 0.682316198530419 0.643717781657668 0.616523012019705 0.652174138161949 0.670809475506408 0.726839028009444 0.654970856149246 0.691395107500404 0.663269082121371 0.695784110713182 0.676326381524134 0.636483301149903
"K20_3M2" 0.644377182689083 0.588985552409657 0.595280798295356 0.606388271636166 0.601953852791462 0.610623274854975 0.610823039610623 0.625653390455851 0.592305404267326 0 0.578968535951449 0.555866495325245 0.67937847769747 0.655592238609693 0.660387941039625 0.657338382152722 0.67867483395367 0.704670940202356 0.67651906016986 0.660020017369017 0.685652485749053 0.641667026155992 0.664102027928752 0.676287644425324 0.671539657963894 0.66879997721458 0.61661932394449 0.669011962352717 0.66403068397972 0.687743735250937 0.652182624227017 0.66034793244929 0.652763165699386 0.679123150028651 0.632056478075103 0.643681081229793
