ID;treatment;exp;compost;rep;kit;size;DNA_conc;F-number
K20_1M2;K20_M2;Fraction;K20;1;M;2;30.5;F1
K20_2M2;K20_M2;Fraction;K20;2;M;2;38.8;F2
K20_3M2;K20_M2;Fraction;K20;3;M;2;36.4;F3
K20_1M10;K20_M10;Fraction;K20;1;M;10;16.6;F10
K20_2M10;K20_M10;Fraction;K20;2;M;10;17.6;F11
K20_3M10;K20_M10;Fraction;K20;3;M;10;19.5;F12
K20_1S2;K20_S2;Fraction;K20;1;S;2;46.1;F19
K20_2S2;K20_S2;Fraction;K20;2;S;2;31.9;F20
K20_3S2;K20_S2;Fraction;K20;3;S;2;27.3;F21
K20_1S10;K20_S10;Fraction;K20;1;S;10;16.8;F28
K20_2S10;K20_S10;Fraction;K20;2;S;10;16.3;F29
K20_3S10;K20_S10;Fraction;K20;3;S;10;16.8;F30
K21_1M2;K21_M2;Fraction;K21;1;M;2;63.4;F4
K21_2M2;K21_M2;Fraction;K21;2;M;2;47.8;F5
K21_3M2;K21_M2;Fraction;K21;3;M;2;45;F6
K21_1M10;K21_M10;Fraction;K21;1;M;10;39;F13
K21_2M10;K21_M10;Fraction;K21;2;M;10;50.4;F14
K21_3M10;K21_M10;Fraction;K21;3;M;10;52;F15
K21_1S2;K21_S2;Fraction;K21;1;S;2;34.8;F22
K21_2S2;K21_S2;Fraction;K21;2;S;2;50.8;F23
K21_3S2;K21_S2;Fraction;K21;3;S;2;47.2;F24
K21_1S10;K21_S10;Fraction;K21;1;S;10;34.7;F31
K21_2S10;K21_S10;Fraction;K21;2;S;10;33.9;F32
K21_3S10;K21_S10;Fraction;K21;3;S;10;32.4;F33
K22_1M2;K22_M2;Fraction;K22;1;M;2;31.4;F7
K22_2M2;K22_M2;Fraction;K22;2;M;2;34.9;F8
K22_3M2;K22_M2;Fraction;K22;3;M;2;35.9;F9
K22_1M10;K22_M10;Fraction;K22;1;M;10;38.6;F16
K22_2M10;K22_M10;Fraction;K22;2;M;10;53.5;F17
K22_3M10;K22_M10;Fraction;K22;3;M;10;44;F18
K22_1S2;K22_S2;Fraction;K22;1;S;2;47.6;F25
K22_2S2;K22_S2;Fraction;K22;2;S;2;42;F26
K22_3S2;K22_S2;Fraction;K22;3;S;2;26.1;F27
K22_1S10;K22_S10;Fraction;K22;1;S;10;23.3;F34
K22_2S10;K22_S10;Fraction;K22;2;S;10;26.7;F35
K22_3S10;K22_S10;Fraction;K22;3;S;10;28;F36
