"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV646" 54.3062991101931 154.524895349031 19.8388707265792 32.1994095839741 83.2742026177653 88.1297122285716 13.5166769163414 28.2605163243176 34.6303222246434 120.994979775493 11.3553680761729 37.0662308827967 16.9709922975833 25.63364192319 25.3104496804254 20.7338925795417 62.0016537748766 34.5904631053332 13.4638722180189 23.8275844554003 52.8382077543159 32.013964390208 4.26692109635925 24.9325970349483 25.3863106152116 9.73370954396393 11.7445746041579 10.2389608350177 32.4041218950768 32.4143387761259 11.7820645539002 22.2830866072458 25.8533526758243 72.5537570786089 10.5501652720381 2.47328793662484
"ASV647" 0 0 0 0 0 0 0 0 0 0 0 0 121.625444799347 318.58954961679 88.5865738814888 88.1190434630521 103.336089624794 202.601283902666 31.976696517795 76.2482702572811 183.543247988676 231.211965040391 140.808396179855 79.7843105118347 21.1552588460097 16.2228492399399 0 10.2389608350177 10.8013739650256 28.3625464291102 3.92735485130007 12.7331923469976 17.2355684505495 9.06921963482611 5.27508263601905 7.41986380987452
"ASV648" 0 0 0 0 0 0 0.675833845817068 25.4344646918858 0 0 0 0 110.311449934292 32.95753961553 113.897023561914 2.59173657244271 296.230123591077 34.5904631053332 28.6107284632903 9.53103378216014 80.6477907829032 21.3426429268054 29.8684476745147 19.9460776279587 236.938899075308 12.9782793919519 90.0417386318773 46.0753237575795 226.828853265538 81.0358469403148 192.440387713703 25.4663846939952 287.259474175825 22.6730490870653 73.8511569042667 12.3664396831242
"ASV649" 23.6114343957361 10.0777105662412 11.3364975580453 20.834912083748 9.68304681601922 34.7177654233767 2.70333538326827 33.9126195891811 4.1556386669572 12.0994979775493 9.08429446093828 27.1819026473842 11.3139948650556 47.60533500021 22.1466434703722 12.9586828622135 144.670525474712 34.5904631053332 11.7808881907666 42.8896520197206 30.5905413314461 35.5710715446756 29.8684476745147 24.9325970349483 33.8484141536155 146.005643159459 35.2337238124737 112.628569185194 37.8048088775896 121.553770410472 27.4914839591005 101.865538775981 114.90378967033 77.088366896022 15.8252479080572 96.4582295283687
"ASV650" 2.36114343957361 0 2.83412438951132 0 0 0 0 0 0 0 0 0 285.678370342653 743.375615772511 230.957853333882 634.975460248463 334.120023120168 632.511325354665 82.466217335366 381.241351286406 344.838829554483 775.449359673928 221.879897010681 468.732824257029 114.238397768452 402.326661150509 93.9565968332632 394.19999214818 189.024044387948 445.697158171731 109.965935836402 283.313529720696 112.031194928572 408.114883567175 92.3139461303334 249.802081599109
"ASV651" 0 0 0 0 0 2.67059734025975 0 0 0 0 0 0 2.82849871626389 0 0 0 0 0 0 0 0 0 0 0 224.245743767703 165.473062247387 187.913193666526 215.018177535371 237.630227230563 117.501978063456 137.457419795502 155.981606250721 169.483089763737 253.938149775131 129.239524582467 113.771245084743
"ASV652" 4.72228687914722 3.35923685541372 0 0 0 2.67059734025975 0 22.6084130594541 11.0817031118859 0 2.27107361523457 0 181.023917840889 40.28143730787 379.656745206381 23.3256291519844 48.2235084915707 34.5904631053332 18.512824299776 4.76551689108007 86.2097073886207 49.7995001625458 51.203053156311 19.9460776279587 203.090484921693 162.228492399399 35.2337238124737 138.225971272738 345.643966880819 186.382447962724 129.602710092902 82.7657502554844 137.884547604396 99.7614159830872 118.689359310429 91.5116536551191
"ASV653" 144.02974981399 144.44718478279 116.199099969964 79.5514825015832 81.3375932545614 130.859269672728 45.9567015155606 70.651290810794 56.7937284484151 125.02814576801 70.4032820722717 76.6035438244465 70.7124679065972 65.9150792310601 98.0779925116483 75.1603606008385 55.1125811332236 84.0054103986664 50.489520817571 133.434472950242 161.295581565806 88.927678861689 132.274553987137 79.7843105118347 80.3899836148368 48.6685477198196 35.2337238124737 71.6727258451236 59.4075568076408 36.4661311231416 78.5470970260014 54.1160674747398 57.4518948351651 40.8114883567175 60.6634503142191 51.9390466691216
"ASV654" 0 0 0 0 1.93660936320384 5.34119468051949 1.35166769163414 11.304206529727 0 0 0 2.47108205885311 65.0554704740695 128.16820961595 47.4570931507976 82.9355703181667 155.004134437191 192.718294443999 8.41492013626184 147.731023623482 102.895457205773 231.211965040391 12.8007632890777 99.7303881397934 12.6931553076058 103.826235135615 35.2337238124737 20.4779216700353 16.2020609475384 149.916316839582 54.982967918201 22.2830866072458 20.1081631923078 99.7614159830872 7.91262395402858 79.1452139719949
"ASV656" 0 0 0 1.89408291670436 1.93660936320384 2.67059734025975 2.0275015374512 11.304206529727 1.38521288898574 0 0 1.23554102942656 158.395928110778 29.29559076936 310.053008585211 28.5091022968698 75.7797990581825 108.712884045333 20.1958083270284 42.8896520197206 66.7429992686096 103.156107479559 55.4699742526702 44.878674662907 12.6931553076058 9.73370954396393 39.1485820138597 15.3584412525265 59.4075568076408 36.4661311231416 11.7820645539002 15.916490433747 63.1970843186816 4.53460981741306 29.0129544981048 19.7863034929987
