"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV1" 111988 122609 141723 127545 118540 118424 130953 142133 130167 116408 121748 134717 55193 89478 60675 100139 43348 98384 71385 76285 60330 86034 62459 76388 8413 31054 7469 42097 15826 28820 19038 31908 20053 29084 19761 33779
"ASV2" 839 425 963 586 848 837 1199 640 1053 539 709 472 29380 3773 19161 4626 23310 5383 21562 8203 19407 3501 20777 5915 44243 11670 36763 12806 38820 11305 38724 15035 47097 10697 40639 19821
"ASV3" 28 64 55 18 31 43 47 6 29 38 64 2 14 58 91 9 37 281 56 66 48 47 22 74 4357 27254 4447 17784 2649 17582 3423 35963 2027 11728 3271 30582
"ASV4" 26 48 23 50 28 42 11 33 14 56 34 15 2836 3358 2992 794 6360 4159 4627 2327 1936 2635 1995 2075 10992 10233 3263 7852 23673 11468 14054 4623 7464 12058 5025 2582
"ASV5" 83 101 64 109 104 77 64 90 68 104 73 53 114 524 58 207 86 86 96 74 60 108 98 130 5361 3792 4224 912 4847 901 13582 2289 28318 3062 21404 5768
"ASV6" 15 9 16 27 13 7 13 29 18 5 17 23 3350 3531 6955 3929 9741 2439 8096 10329 2119 1841 2940 15407 1294 769 1989 4458 1812 1106 641 688 7104 2043 3283 750
"ASV7" 8 21 6 8 14 10 4 4 9 15 5 4 18 16 9 5 5 13 14 7 17 11 4 15 986 5217 872 4487 6875 24523 1212 3903 2114 29536 1579 5826
"ASV8" 387 700 785 599 246 937 500 429 774 662 759 541 1941 2902 3334 2291 808 3269 1425 3265 1268 2550 1710 3835 896 1899 659 1397 1118 1373 653 1103 539 1486 669 1207
"ASV9" 7 3 3 16 3 5 6 15 11 4 9 13 2651 2473 3385 1809 1751 1810 2572 7975 1138 911 1277 7616 980 425 1469 1754 547 735 659 953 5149 443 2802 469
"ASV14" 35 36 5 28 16 41 5 7 5 29 6 8 3664 1230 2133 1833 3789 2082 3769 1979 3029 1331 5113 1657 35 9 52 1958 136 83 10 55 208 48 87 43
"ASV10" 5 4 3 3 3 5 4 10 3 1 7 3 757 6 546 84 5145 7 600 31 706 11 386 92 3277 1319 4471 367 1804 970 1820 246 1579 1429 1211 104
"ASV11" 8 5 5 6 8 4 1 9 10 0 5 3 53 197 349 160 11427 934 1027 862 228 104 249 224 1229 279 122 301 2790 1183 269 34 2440 70 640 131
"ASV12" 233 181 175 120 110 105 96 89 167 125 154 87 689 2465 320 1814 562 1276 684 1635 619 1415 829 2305 1289 975 565 726 660 1251 434 784 419 1169 313 845
"ASV13" 438 275 670 153 235 233 122 338 501 421 401 202 336 548 425 452 618 751 222 544 466 718 422 1153 961 1715 861 1129 1070 1607 583 852 614 1598 793 1155
"ASV15" 11 34 0 13 9 5 1 0 1 10 11 5 48 26 41 10 29 40 23 109 24 32 44 33 4092 201 13855 84 205 94 267 127 205 41 119 84
"ASV16" 40 68 57 42 42 40 27 22 101 49 64 40 710 1026 256 670 455 1139 218 1417 1973 880 1691 1627 146 226 66 220 308 129 92 64 79 104 22 68
"ASV17" 14 25 19 42 14 32 16 24 14 40 14 9 309 76 839 305 396 177 297 420 265 342 301 549 928 389 996 959 3232 443 2650 948 427 498 1755 457
"ASV25" 0 2 4 0 3 0 5 8 4 2 6 1 4 19 1 94 107 3 23 3 2 18 5 17 171 481 984 185 577 848 106 1611 344 1193 304 695
"ASV27" 89 71 109 55 15 70 65 101 159 70 163 61 176 108 321 260 135 239 267 265 295 88 252 529 89 205 121 727 437 485 276 438 321 393 175 758
"ASV28" 53 81 74 74 19 72 24 31 110 43 64 32 240 321 219 139 114 506 192 436 346 258 372 1255 203 364 98 107 324 343 122 53 40 132 134 167
"ASV34" 133 205 178 76 72 74 78 86 128 84 297 89 559 158 243 283 97 207 99 342 98 388 58 321 150 246 143 277 227 316 77 133 108 361 35 285
"ASV39" 129 152 92 57 70 122 43 65 78 146 122 73 74 216 134 226 94 112 75 60 46 90 60 769 1822 107 75 165 115 175 68 44 38 135 88 81
"ASV42" 64 82 55 106 30 50 19 37 51 47 92 60 137 499 91 185 268 374 170 192 443 882 545 935 4 12 9 2 0 29 16 7 2 50 2 35
"ASV46" 0 0 2 0 0 4 0 0 3 2 10 15 47 0 9 0 8 0 2 0 60 4 3 2 1 0 4 34 3 0 2 0 10 0 3981 0
"ASV48" 116 143 237 87 71 92 147 133 225 87 250 145 91 153 36 106 100 125 52 270 244 245 29 350 56 201 158 408 322 134 71 24 52 0 56 148
"ASV47" 0 1 1 0 0 6 0 0 0 8 2 0 0 70 1 35 2 245 0 11 0 15 11 54 25 751 4 252 138 1761 146 260 28 1137 45 1003
"ASV49" 91 39 34 85 61 101 72 59 102 142 142 90 39 102 365 156 158 4 161 308 187 305 203 183 0 48 214 241 103 0 70 239 37 0 115 3
"ASV50" 22 26 40 4 15 25 13 5 10 35 25 12 183 182 178 89 132 151 187 399 189 112 168 397 126 300 125 85 170 235 102 59 91 96 53 215
