"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV1" 17161 19117 15775 25809 19088 25121 29058 17580 22826 16684 15264 37743 26689 28106 27853 29058 25084 23187 17060 17558 25721 28588 17815 18439 15543 28390 13718 22071 15128 20721 13929 27685 19916 20852 18550 30428
"ASV2" 2391 2978 1153 2621 2766 3736 1451 1902 3171 2286 1055 3128 7510 8182 5496 6734 7065 7075 3955 4495 6999 7999 3875 5020 4961 9235 3172 5851 4642 7160 2796 7376 6349 7078 4625 6757
"ASV3" 4939 4600 2319 6119 6230 8590 3496 4189 6789 4907 2089 7332 2310 4036 1828 3773 3002 3425 1483 2320 2690 4243 1413 2084 1646 4011 1390 2299 1578 2334 1648 3285 2829 2049 2344 3842
"ASV4" 4029 3820 2517 4035 4706 4640 3772 2736 5193 3056 2509 5838 2801 3180 2593 3109 2748 2559 1654 2255 3093 3360 1656 2585 2724 3646 1840 2740 2439 3043 1741 3408 3184 2885 2547 2943
"ASV5" 1673 2597 2883 5832 1857 2983 4611 3858 2321 2110 2413 8044 1258 1497 3067 4605 1459 1558 1920 2910 1508 1831 1827 3101 1339 1970 2328 4337 1592 1624 2242 5173 2159 1642 3275 5466
"ASV6" 374 539 679 1645 796 847 802 1043 917 675 783 1293 1053 1275 2053 2613 1095 1041 1277 1523 961 1346 972 1756 2562 5131 3630 6984 2130 4019 3228 8416 2696 3658 5052 9600
"ASV7" 4116 3036 2929 3887 5096 4409 3146 3124 5020 3225 1454 6491 5695 6026 4173 4198 3703 4189 1848 3321 5243 5280 1606 2860 3612 3650 2440 2431 3309 3368 1937 2455 3128 2520 2046 2691
"ASV8" 1334 1491 575 1397 1377 1967 749 1006 1697 1168 494 1654 4359 4798 3179 3983 4126 3890 2134 2519 3965 4532 2045 2814 2925 5807 1992 3570 2663 4140 1727 4347 3916 4354 2758 4001
"ASV9" 404 216 436 433 704 475 275 136 815 179 253 316 3313 1540 2856 1090 2650 1725 1598 950 3064 1535 1279 801 4080 7126 2998 4616 3997 5524 2784 4840 4999 5240 3546 5262
"ASV10" 3046 2226 2792 3605 3770 3440 3528 2527 3858 2515 2428 5121 1528 1633 1648 1695 1787 1354 1380 1291 2344 1919 1679 1264 807 1037 993 760 609 618 867 1349 1531 569 1183 1204
