"","compost","rep","kit","size","dna_25","logcopyITS2","copies_per_ngDNA_ITS2","logcopy16s","copies_per_ngDNA_16S","ratioF_B","num_seq.F","num_seq.B","dna_23","sobs.F","shannon.F","evenness.F","sobs.B","shannon.B","evenness.B","replicate_ID"
"K20_1M10","A",1,"M","10",9.82107077047379,3.64352030947776,4480.86096858967,5.48776577792778,313045.119505549,0.0143137863821904,116688,132582,16.6,178.09,0.320055407661949,0.0617594667455707,2484.52,5.30780606165068,0.678935565149558,"K20_1"
"K20_1M2","A",1,"M","2",24.8362038452318,4.0816247582205,4858.91769381266,5.99400944988188,397122.262573299,0.0122353193254075,127566,118218,30.5,195.86,0.31883687951004,0.0604155213482639,2335.55,5.0841773730674,0.655515163844404,"K20_1"
"K20_1S10","A",1,"S","10",12.1008978081202,3.54003868471954,2865.63644171378,5.52910901113736,279441.830681426,0.0102548585325463,148053,98599,16.8,201.38,0.337225679080486,0.0635651966782016,2351.76,5.06426591231775,0.65236617060519,"K20_1"
"K20_1S2","A",1,"S","2",18.0233535204419,3.85822050290135,4002.99365399644,5.71388795140061,287112.664845714,0.0139422399083215,131044,151584,46.1,141.54,0.218997475666642,0.044218845771919,2197.8,4.87085160048388,0.632971711824534,"K20_1"
"K20_2M10","A",2,"M","10",12.6369871521681,3.71798839458414,4133.75611754123,5.62192035099562,331342.242387998,0.012475789648036,121632,171094,17.6,167.69,0.207355869114205,0.0404824543496584,2479.16,5.37868693526253,0.68819224003549,"K20_2"
"K20_2M2","A",2,"M","2",28.291259142508,4.21508704061896,5800.09041773212,6.1011643604455,446182.038831876,0.0129993812232267,122999,167072,38.8,166.42,0.288307906519126,0.0563705302791849,2336.43,5.0454127274655,0.650485550763071,"K20_2"
"K20_2S10","A",2,"S","10",10.6443094823918,3.32727272727273,1995.97562861651,5.07433344583193,111484.875372138,0.0179035552755827,134930,164959,16.3,183.07,0.234771512445083,0.0450628472173306,2334.94,4.9871437551173,0.643026043601115,"K20_2"
"K20_2S2","A",2,"S","2",24.5004243424805,4.03520309477756,4426.18424989131,5.85647991900102,293296.116568665,0.015091179186667,145648,103783,31.9,160.92,0.202056740145704,0.0397678458478019,2267.1,4.89911818992487,0.634086898955752,"K20_2"
"K20_3M10","A",3,"M","10",12.7828775568118,3.59323017408124,3066.20752479884,5.50970300371246,252973.118638131,0.0121206851593783,136289,182624,19.5,208.71,0.35237568484807,0.0659762713859659,2510.35,5.32772210154827,0.680582693176869,"K20_3"
"K20_3M2","A",3,"M","2",26.9099317398101,4.13191489361702,5035.03272397593,6.08513331083362,452085.642433153,0.0111373426877197,120568,112092,36.4,179.58,0.275729789770388,0.053120773192207,2343.5,5.1052952498784,0.657949675502595,"K20_3"
"K20_3S10","A",3,"S","10",11.7523818414714,3.42495164410058,2263.73586013675,5.41857914276072,223076.205856416,0.0101478140684973,128439,98225,16.8,228,0.40805967309102,0.075158168401521,2377.8,5.13049600847041,0.659961611268367,"K20_3"
