"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV646" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV647" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "unclassified" "f__Pirellulaceae"
"ASV648" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Puia" "g__Puia"
"ASV649" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Lysobacterales" "Lysobacteraceae" "Lysobacteraceae_insertae_sedis_genus" "g__Lysobacteraceae_insertae_sedis_genus"
"ASV650" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV651" "Bacteria" "Spirochaetota" "Spirochaetia" "Spirochaetales" "Spirochaetaceae" "Spirochaeta" "g__Spirochaeta"
"ASV652" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolineaceae_insertae_sedis_genus" "g__Anaerolineaceae_insertae_sedis_genus"
"ASV653" "Bacteria" "Chloroflexota" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "unclassified" "f__Roseiflexaceae"
"ASV654" "Bacteria" "Bacteroidota" "Bacteroidia" "Cytophagales" "Microscillaceae" "Microscillaceae_insertae_sedis_genus" "g__Microscillaceae_insertae_sedis_genus"
"ASV656" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "A4b" "A4b_insertae_sedis_genus" "g__A4b_insertae_sedis_genus"
"ASV657" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Sandaracinaceae" "Sandaracinaceae_insertae_sedis_genus" "g__Sandaracinaceae_insertae_sedis_genus"
"ASV659" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Schinkia" "g__Schinkia"
"ASV660" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Rickettsiellales" "Rickettsiellaceae" "Aquicella" "g__Aquicella"
"ASV663" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV664" "Bacteria" "Planctomycetota" "BD7-11" "BD7-11_insertae_sedis_order" "BD7-11_insertae_sedis_family" "BD7-11_insertae_sedis_genus" "g__BD7-11_insertae_sedis_genus"
"ASV666" "Bacteria" "Bacillota" "Thermaerobacteria" "Thermaerobacterales" "Thermaerobacteraceae" "Thermaerobacter" "g__Thermaerobacter"
"ASV667" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Hydrogenophilaceae" "Hydrogenophilaceae_insertae_sedis_genus" "g__Hydrogenophilaceae_insertae_sedis_genus"
"ASV668" "Bacteria" "Actinomycetota" "Actinobacteria" "Kitasatosporales" "Streptomycetaceae" "Streptomyces" "g__Streptomyces"
"ASV669" "Bacteria" "Chloroflexota" "JG30-KF-CM66" "JG30-KF-CM66_insertae_sedis_order" "JG30-KF-CM66_insertae_sedis_family" "JG30-KF-CM66_insertae_sedis_genus" "g__JG30-KF-CM66_insertae_sedis_genus"
"ASV670" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV671" "Bacteria" "Fibrobacterota" "Chitinivibrionia" "Chitinivibrionales" "Chitinispirillaceae" "BBMC-4" "g__BBMC-4"
"ASV673" "Bacteria" "Bacillota" "Thermaerobacteria" "Thermaerobacterales" "Thermaerobacteraceae" "Thermaerobacter" "g__Thermaerobacter"
"ASV674" "Bacteria" "Bacillota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Bacillota"
"ASV675" "Bacteria" "Myxococcota" "Polyangiia" "Nannocystales" "Nannocystaceae" "Enhygromyxa" "g__Enhygromyxa"
"ASV677" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Sandaracinaceae" "Sandaracinaceae_insertae_sedis_genus" "g__Sandaracinaceae_insertae_sedis_genus"
"ASV678" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV679" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV680" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV681" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Sandaracinaceae" "Sandaracinaceae_insertae_sedis_genus" "g__Sandaracinaceae_insertae_sedis_genus"
"ASV682" "Bacteria" "Planctomycetota" "Planctomycetes" "Planctomycetales" "Rubinisphaeraceae" "Planctomicrobium" "g__Planctomicrobium"
"ASV683" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV684" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" "g__Paenibacillus"
"ASV685" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "Ellin6067" "g__Ellin6067"
"ASV686" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Gammaproteobacteria_Incertae_Sedis" "unclassified" "Acidibacter" "g__Acidibacter"
"ASV687" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV688" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV689" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiia" "Pedosphaerales" "Pedosphaeraceae" "Pedosphaeraceae_insertae_sedis_genus" "g__Pedosphaeraceae_insertae_sedis_genus"
