"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "Species" "lowest"
"ASV1" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Mycothermus" "Mycothermus_thermophilus" "s__Mycothermus_thermophilus"
"ASV2" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV3" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV4" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV5" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Iodophanus" "Iodophanus_carneus" "s__Iodophanus_carneus"
"ASV6" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "Coprinopsis_annulopora" "s__Coprinopsis_annulopora"
"ASV7" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Stephanosporaceae" "Myriococcum" "Myriococcum_sp" "s__Myriococcum_sp"
"ASV8" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV9" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "Coprinopsis_annulopora" "s__Coprinopsis_annulopora"
"ASV14" "Fungi" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Fungi"
"ASV10" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV11" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV12" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Thermomyces" "unclassified" "g__Thermomyces"
"ASV13" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV15" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Kernia" "unclassified" "g__Kernia"
"ASV16" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "unclassified" "unclassified" "Microascales_sp" "s__Microascales_sp"
"ASV17" "Fungi" "Mucoromycota" "Endogonomycetes" "unclassified" "unclassified" "unclassified" "Endogonomycetes_sp" "s__Endogonomycetes_sp"
"ASV25" "Fungi" "Ascomycota" "Pezizomycotina_cls_Incertae_sedis" "unclassified" "unclassified" "unclassified" "Pezizomycotina_sp" "s__Pezizomycotina_sp"
"ASV27" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "Mucor_racemosus" "s__Mucor_racemosus"
"ASV28" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV34" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
